,Postcode,Centroid
0,3000,-37.817403 144.956776
1,3001,-37.817403 144.956776
2,3002,-37.818517 144.982207
3,3003,-37.810871 144.949592
4,3004,-37.844246 144.970161
7,3005,-37.824608 144.950858
8,3006,-37.82528675 144.9520744
10,3008,-37.814719 144.948039
11,3010,-37.796152 144.961351
12,3011,-37.807101 144.907953
15,3012,-37.807135 144.861162
21,3013,-37.814183 144.888686
23,3015,-37.838242 144.880556
26,3016,-37.863743 144.888461
28,3018,-37.86172 144.812736
30,3019,-37.784683 144.854014
33,3020,-37.777204 144.829945
38,3021,-37.743361 144.796693
42,3022,-37.795937 144.793961
44,3023,-37.78272 144.770641
51,3024,-37.75045631 144.649936
56,3025,-37.835562 144.839704
59,3026,-37.91624 144.64209
61,3027,-37.932419 144.754147
64,3028,-37.875066 144.777165
67,3029,-37.837165 144.705831
70,3030,-37.91624 144.64209
76,3031,-37.79119 144.923403
78,3032,-37.774486 144.897221
82,3033,-37.74107 144.857638
83,3034,-37.761235 144.86194
84,3036,-37.705324 144.82246
86,3037,-37.715579 144.780474
92,3038,-37.700454 144.766873
96,3039,-37.766184 144.922995
97,3040,-37.751845 144.902556
100,3041,-37.72674618 144.9011039
104,3042,-37.727529 144.866305
108,3043,-37.691916 144.888368
111,3044,-37.731138 144.936356
113,3045,-37.674739 144.836195
114,3046,-37.706578 144.927968
117,3047,-37.681105 144.930247
120,3048,-37.653917 144.923609
122,3049,-37.673182 144.888492
124,3050,-37.800324 144.954581
125,3051,-37.8006 144.943559
127,3052,-37.788996 144.948903
129,3053,-37.803569 144.966112
131,3054,-37.786971 144.96724
133,3055,-37.763584 144.942222
137,3056,-37.766292 144.960108
140,3057,-37.770012 144.97728
143,3058,-37.739901 144.964524
148,3059,-37.639887 144.879626
149,3060,-37.707326 144.967874
152,3061,-37.666265 144.956763
153,3062,-37.632986 144.932557
154,3063,-37.595015 144.856082
156,3064,-37.546522 144.942199
161,3065,-37.802608 144.977795
162,3066,-37.804846 144.986906
164,3067,-37.803515 144.998203
165,3068,-37.790974 144.98622
167,3070,-37.774064 144.999745
169,3071,-37.759426 145.007006
170,3072,-37.74247 145.005702
178,3073,-37.712474 145.005955
183,3074,-37.684684 145.006644
184,3075,-37.66607 145.002679
186,3076,-37.643598 145.022137
188,3078,-37.778298 145.025853
190,3079,-37.772675 145.048573
193,3081,-37.743008 145.046401
197,3082,-37.664858 145.065658
198,3083,-37.701346 145.056223
201,3084,-37.744406 145.082685
206,3085,-37.724398 145.06988
209,3086,-37.721328 145.047012
210,3087,-37.711787 145.082426
212,3088,-37.700175 145.108339
216,3089,-37.667713 145.150369
217,3090,-37.668408 145.107802
218,3091,-37.637478 145.136688
219,3093,-37.73919 145.115208
220,3094,-37.719759 145.124727
221,3095,-37.713299 145.158579
224,3096,-37.670851 145.185826
225,3097,-37.695254 145.224204
228,3099,-37.592101 145.192854
233,3101,-37.807397 145.036575
235,3102,-37.793805 145.05219
236,3103,-37.811738 145.074116
241,3104,-37.793695 145.081714
243,3105,-37.772477 145.084806
245,3106,-37.758335 145.142675
246,3107,-37.765225 145.110677
247,3108,-37.786429 145.125797
248,3109,-37.784786 145.161649
252,3111,-37.794054 145.186334
253,3113,-37.752123 145.204689
255,3114,-37.778595 145.212599
256,3115,-37.736734 145.267586
257,3116,-37.737629 145.313086
258,3121,-37.823303 145.001788
266,3122,-37.822725 145.030602
271,3123,-37.829752 145.049415
273,3124,-37.840867 145.068191
279,3125,-37.851305 145.101
282,3126,-37.827203 145.075748
284,3127,-37.825173 145.097236
287,3128,-37.828866 145.122393
292,3129,-37.806965 145.125084
295,3130,-37.81805 145.149653
299,3131,-37.817798 145.174489
302,3132,-37.819222 145.196686
305,3133,-37.848786 145.192303
307,3134,-37.823058 145.257929
312,3135,-37.819594 145.248209
315,3136,-37.779876 145.282396
319,3137,-37.819364 145.313346
321,3138,-37.78391 145.322794
322,3139,-37.814506 145.532666
332,3140,-37.759154 145.363185
333,3141,-37.840679 144.991264
336,3142,-37.84411 145.017732
338,3143,-37.858918 145.019393
340,3144,-37.857443 145.034127
343,3145,-37.873557 145.049328
349,3146,-37.857116 145.057833
350,3147,-37.867864 145.092946
352,3148,-37.882562 145.090149
356,3149,-37.880748 145.128118
359,3150,-37.914383 145.168834
362,3151,-37.85523 145.151119
364,3152,-37.864951 145.221695
368,3153,-37.845116 145.270141
370,3154,-37.856009 145.31784
371,3155,-37.861799 145.284418
372,3156,-37.917932 145.292895
377,3158,-37.910077 145.324468
378,3159,-37.921894 145.3892
380,3160,-37.935097 145.350821
384,3161,-37.873733 145.019929
386,3162,-37.892139 145.023394
389,3163,-37.896497 145.057237
393,3164,-38.02243 145.23738
394,3165,-37.922369 145.059426
396,3166,-37.902805 145.089719
400,3167,-37.923345 145.087614
401,3168,-37.91342 145.12665
403,3169,-37.945149 145.115271
405,3170,-37.920945 145.167859
407,3171,-37.944608 145.156783
409,3172,-37.975981 145.13465
411,3173,-38.006771 145.164863
412,3174,-37.966218 145.17877
415,3175,-38.016114 145.208504
421,3176,-37.8992 145.23
422,3177,-37.990985 145.237462
424,3178,-37.924431 145.241589
425,3179,-37.897137 145.222634
426,3180,-37.893263 145.246731
427,3181,-37.854683 144.995504
430,3182,-37.865322 144.979478
433,3183,-37.869072 144.999026
435,3184,-37.881414 144.984034
437,3185,-37.891841 145.002571
440,3186,-37.915066 144.996329
444,3187,-37.925371 145.013593
446,3188,-37.938889 145.007238
449,3189,-37.942021 145.047802
452,3190,-37.951394 145.038147
453,3191,-37.956585 145.013472
454,3192,-37.965655 145.0623
458,3193,-37.978698 145.031561
462,3194,-37.985059 145.067356
465,3195,-38.007024 145.104105
472,3196,-38.046479 145.122762
476,3197,-38.072748 145.134111
478,3198,-38.103194 145.137811
480,3199,-38.162578 145.135961
486,3200,-38.126458 145.157574
488,3201,-38.092874 145.177905
489,3202,-37.960555 145.092698
490,3204,-37.916956 145.036783
494,3205,-37.831693 144.958176
496,3206,-37.846534 144.95086
498,3207,-37.832179 144.918044
500,3211,-37.943586 144.498479
501,3212,-38.039958 144.422666
504,3213,-37.9406 144.2894
508,3214,-38.084781 144.352385
511,3215,-38.111002 144.33452
518,3216,-38.215906 144.334005
527,3217,-38.23413976 144.3707843
532,3218,-38.13028025 144.2894883
538,3219,-38.17277 144.389533
544,3220,-38.157038 144.34652
548,3221,-38.181608 144.427419
569,3222,-38.209921 144.572989
575,3223,-38.13622989 144.6217267
579,3224,-38.202905 144.462401
581,3225,-38.271074 144.614191
585,3226,-38.263811 144.523761
586,3227,-38.263052 144.40814
589,3228,-38.307545 144.299978
593,3230,-38.409363 144.176397
594,3231,-38.459435 144.106892
599,3232,-38.544977 143.970167
601,3233,-38.679417 143.671777
607,3234,-38.6791182 143.832394
613,3235,-38.411964 143.924288
617,3236,-38.521903 143.712384
619,3237,-38.716838 143.474392
627,3238,-38.781787 143.429978
631,3239,-38.564014 143.448102
635,3240,-38.263005 144.174411
641,3241,-38.20363 143.892824
647,3242,-38.346704 143.740326
648,3243,-38.364034 143.82588
653,3249,-38.388291 143.557159
678,3250,-38.311513 143.584742
682,3251,-38.155186 143.648479
687,3254,-38.289636 143.52228
688,3260,-38.209584 143.244766
706,3264,-38.232443 142.884394
707,3265,-38.178237 142.952372
724,3266,-38.407094 143.133721
734,3267,-38.466647 143.06073
735,3268,-38.535802 142.908911
754,3269,-38.660637 143.177116
757,3270,-38.602117 142.870164
758,3271,-37.888549 142.98753
761,3272,-37.982186 142.853634
763,3273,-37.981249 142.660643
764,3274,-37.960778 142.478612
765,3275,-38.301794 142.457611
767,3276,-38.0538178 142.481806
769,3277,-38.389835 142.660221
775,3278,-38.278013 142.624719
777,3279,-38.214555 142.657483
779,3280,-38.37884 142.482889
784,3281,-38.254454 142.630109
788,3282,-38.268176 142.351658
790,3283,-38.313434 142.328761
800,3284,-38.270398 142.119266
802,3285,-38.290199 142.058916
810,3286,-37.9711005 141.8361176
815,3287,-38.059868 142.31953
817,3289,-37.893196 142.227754
822,3292,-38.038873 141.051987
823,3293,-37.655945 142.527253
826,3294,-37.573978 142.312764
833,3300,-37.743155 142.013356
835,3301,-38.118855 142.034141
850,3302,-37.847981 141.706379
852,3303,-37.980868 141.789606
858,3304,-38.182084 141.952156
870,3305,-38.235475 141.437227
882,3309,-37.82644 141.511007
883,3310,-37.70789 141.549163
885,3311,-37.468159 141.229722
889,3312,-37.6391 141.365747
909,3314,-37.586718 141.935665
915,3315,-37.408371 141.687516
933,3317,-37.166673 141.451647
934,3318,-37.025316 141.269571
943,3319,-36.873961 141.051389
946,3321,-38.087758 143.88056
949,3322,-38.021333 143.743305
950,3323,-38.026314 143.520934
953,3324,-37.941939 143.375414
956,3325,-37.877452 143.185911
960,3328,-38.018664 144.043058
961,3329,-37.983701 143.908716
964,3330,-37.918437 143.758576
965,3331,-38.049195 144.194625
972,3332,-37.944446 144.097178
973,3333,-37.87179 144.04476
975,3334,-37.75803 144.086089
980,3335,-37.69608887 144.6698898
985,3336,-37.719 144.6684
988,3337,-37.65724033 144.5462424
993,3338,-37.705529 144.571033
1000,3340,-37.787135 144.394442
1013,3341,-37.573711 144.308232
1018,3342,-37.651463 144.239102
1027,3345,-37.5878 144.123664
1028,3350,-37.571941 143.864505
1051,3351,-37.758248 143.637463
1080,3352,-37.482132 143.662387
1142,3353,-37.7778 144.835743
1143,3354,-37.560917 143.867158
1145,3355,-37.530285 143.82561
1149,3356,-37.592283 143.82846
1152,3357,-37.653945 143.883416
1155,3358,-37.58012926 143.7928013
1156,3360,-37.72758817 143.5955266
1161,3361,-37.752643 143.373089
1164,3363,-37.420588 143.88637
1171,3364,-37.334655 143.907186
1197,3370,-37.252718 143.815613
1201,3371,-37.196938 143.635622
1211,3373,-37.457785 143.343429
1225,3374,-37.231524 142.956916
1226,3375,-37.424288 143.143621
1230,3377,-37.231524 142.956916
1256,3378,-37.528792 142.985403
1258,3379,-37.7667 142.6833
1267,3380,-37.0666 142.771159
1273,3381,-36.988914 142.7154
1302,3384,-36.93829078 143.2173081
1313,3385,-36.904185 142.647565
1321,3387,-36.71744157 142.9814278
1332,3388,-36.597861 142.693946
1334,3390,-36.583744 142.487468
1336,3391,-36.092132 142.446015
1337,3392,-36.34199038 142.6792298
1340,3393,-36.257725 142.387341
1351,3395,-35.918885 142.441984
1355,3396,-35.7157 142.329159
1358,3399,-36.608521 142.357023
1360,3400,-36.725245 142.203729
1367,3401,-36.881534 141.940832
1415,3402,-37.164183 142.666302
1416,3407,-37.298061 141.948371
1421,3409,-36.72484337 141.8632367
1433,3412,-36.658804 141.366071
1434,3413,-36.699331 141.201068
1438,3414,-36.388628 142.093883
1441,3415,-36.352459 141.339702
1443,3418,-36.074144 141.538074
1453,3419,-36.226015 141.101929
1454,3420,-36.41273 141.017332
1457,3423,-36.13191 141.940764
1459,3424,-35.727789 141.930872
1462,3427,-37.643461 144.707974
1464,3428,-37.591069 144.811494
1465,3429,-37.56762 144.728973
1467,3430,-37.494056 144.806632
1468,3431,-37.474551 144.69202
1469,3432,-37.448455 144.792581
1470,3433,-37.413302 144.752095
1471,3434,-37.35388 144.750796
1475,3435,-37.179453 144.743358
1479,3437,-37.501619 144.513018
1482,3438,-37.457528 144.602032
1483,3440,-37.413377 144.546151
1484,3441,-37.399224 144.603892
1485,3442,-37.330661 144.548846
1495,3444,-37.171788 144.544716
1517,3446,-37.184831 144.374338
1519,3447,-37.157744 144.322487
1520,3448,-37.075364 144.387629
1523,3450,-37.061635 144.214903
1525,3451,-37.125338 144.21419
1542,3453,-36.950365 144.281488
1546,3458,-37.424116 144.33471
1555,3460,-37.351704 144.144216
1557,3461,-37.287848 144.170995
1585,3462,-37.083561 144.053611
1591,3463,-36.957983 144.05651
1606,3464,-37.019811 143.841414
1607,3465,-37.021478 143.611335
1630,3467,-37.105993 143.412675
1632,3468,-37.261481 143.379493
1634,3469,-37.172964 143.280627
1639,3472,-36.864952 143.657638
1650,3475,-36.70633 143.51213
1657,3477,-36.688551 143.230699
1687,3478,-36.688551 143.230699
1722,3480,-36.31227 142.968057
1743,3482,-36.17028 142.766588
1748,3483,-35.901765 142.890804
1759,3485,-35.711533 142.671962
1763,3487,-35.515627 142.616079
1764,3488,-35.435634 142.427118
1767,3489,-35.332477 142.425302
1768,3490,-35.62103426 141.4849679
1776,3491,-35.434099 142.218273
1777,3494,-34.486406 142.348315
1781,3496,-34.287804 142.144177
1791,3498,-34.238385 142.172516
1792,3500,-34.1931 142.154161
1795,3501,-34.243279 142.100896
1800,3502,-37.972887 145.25835
1801,3505,-34.180532 142.004192
1808,3506,-35.204199 141.385876
1809,3507,-35.120596 142.035659
1810,3509,-35.155031 141.680385
1812,3512,-35.39199 141.121226
1815,3515,-36.729444 144.062915
1818,3516,-36.607616 144.041722
1824,3517,-36.483116 143.886832
1836,3518,-36.474937 143.586215
1852,3520,-36.405771 143.810786
1855,3521,-37.090071 144.912693
1856,3522,-37.050037 144.747197
1859,3523,-36.837461 144.768359
1869,3525,-36.2835 143.364316
1886,3527,-36.07096 143.241334
1899,3529,-35.824259 143.232677
1901,3530,-35.701439 143.152747
1905,3531,-35.616408 142.943814
1908,3533,-35.384557 142.839304
1921,3537,-36.079335 143.744455
1930,3540,-35.89277 143.45008
1934,3542,-35.700788 143.406398
1938,3544,-35.51717216 143.1754083
1945,3546,-35.060163 142.850456
1952,3549,-34.766049 142.820973
1964,3550,-36.764269 144.285267
1980,3551,-36.78137 144.457937
2021,3552,-37.825288 145.011924
2022,3554,-36.757 144.279
2023,3555,-36.777226 144.245239
2029,3556,-36.656422 144.178282
2040,3557,-36.63511 144.576787
2045,3558,-36.51553 144.638363
2051,3559,-36.570077 144.805307
2059,3561,-36.321109 144.709543
2071,3562,-36.062544 144.46276
2072,3563,-36.256251 144.515589
2073,3564,-36.18096611 144.6014151
2087,3565,-36.182336 144.511713
2088,3566,-35.945748 144.383334
2089,3567,-35.931669 144.262942
2091,3568,-35.809462 144.184089
2102,3570,-36.515303 144.28053
2108,3571,-36.36819 144.206865
2113,3572,-36.266642 144.257135
2117,3573,-36.164865 144.297958
2122,3575,-36.055725 144.159028
2132,3576,-36.128029 143.917515
2133,3579,-35.767974 143.769445
2163,3580,-35.639761 144.094672
2164,3581,-35.628333 143.78521
2166,3583,-35.509635 143.66458
2167,3584,-35.431026 143.637617
2169,3585,-35.348388 143.336906
2184,3586,-35.114021 143.792594
2191,3588,-35.29429 143.470325
2192,3589,-35.228436 143.441248
2194,3590,-35.235708 143.493525
2195,3591,-35.202209 143.394092
2196,3594,-35.138155 143.346028
2197,3595,-35.202752 143.351682
2198,3596,-35.123806 143.327682
2201,3597,-34.965359 143.189786
2207,3599,-34.729742 143.143231
2208,3607,-36.839707 145.179762
2209,3608,-36.740713 145.095753
2217,3610,-36.577628 145.229349
2222,3612,-36.575936 145.019312
2228,3614,-36.479193 145.30098
2230,3616,-36.464118 145.145217
2239,3617,-36.423823 145.178369
2240,3618,-36.37708 145.125014
2241,3619,-37.659566 144.936295
2242,3620,-36.284584 145.082735
2250,3621,-36.206055 144.961183
2256,3622,-36.231961 144.87573
2259,3623,-36.461381 144.976813
2262,3624,-36.410186 144.965763
2263,3629,-36.287306 145.260653
2268,3630,-36.380853 145.403176
2275,3631,-36.428694 145.526693
2290,3632,-36.544462 145.603242
2291,3633,-36.307936 145.46296
2292,3634,-36.224186 145.440315
2300,3635,-36.142596 145.30827
2303,3636,-36.093878 145.479471
2307,3637,-36.050686 145.329026
2309,3638,-36.03202 145.246572
2312,3639,-36.021295 145.047253
2316,3640,-36.00978 145.486015
2317,3641,-35.89718 145.428306
2321,3643,-35.955363 145.631874
2322,3644,-35.945353 145.632682
2327,3646,-36.247446 145.704042
2335,3647,-36.385331 145.704473
2336,3649,-36.082665 145.688671
2338,3658,-37.241401 145.111854
2349,3659,-37.110344 145.07088
2351,3660,-37.035925 145.257867
2363,3661,-38.195993 146.535346
2364,3662,-36.9356483 144.9486555
2366,3663,-36.910878 145.158863
2367,3664,-36.927251 145.298203
2369,3665,-36.844091 145.357627
2372,3666,-36.786777 145.565512
2389,3669,-36.625333 145.708668
2400,3670,-36.623748 145.852449
2403,3671,-36.385144 145.420691
2404,3672,-36.554936 145.977761
2406,3673,-36.669929 146.062514
2425,3675,-36.565078 146.266835
2435,3676,-36.341245 146.338612
2436,3677,-36.358017 146.330564
2440,3678,-36.68892 146.482439
2475,3682,-36.174271 146.428656
2479,3683,-36.180787 146.604622
2483,3685,-36.056449 146.470638
2494,3687,-36.018771 146.415927
2496,3688,-36.119195 146.717193
2500,3689,-37.67576 144.989793
2501,3690,-36.135717 146.864361
2504,3691,-36.027154 147.880991
2541,3694,-36.150678 146.919493
2543,3695,-36.304285 147.123674
2547,3697,-36.68753 147.17925
2548,3698,-36.722034 147.149468
2549,3699,-36.844307 147.299257
2553,3700,-36.335898 147.35527
2558,3701,-36.638769 147.476819
2569,3704,-36.132613 147.49344
2570,3705,-36.322884 147.769911
2572,3707,-36.586316 148.037958
2580,3708,-36.070928 147.942058
2581,3709,-36.035908 147.667373
2586,3711,-37.41047 145.682161
2587,3712,-37.3209 145.839057
2589,3713,-37.241527 145.90623
2592,3714,-37.210538 145.687889
2602,3715,-36.985747 145.739419
2605,3717,-37.286611 145.435776
2613,3718,-37.144067 145.54096
2614,3719,-37.041215 145.608491
2618,3720,-37.017241 145.850304
2619,3722,-37.202634 146.253268
2622,3723,-36.894465 146.256507
2648,3724,-37.053108 146.076832
2649,3725,-36.414359 145.937326
2654,3726,-36.332254 145.960209
2658,3727,-36.242443 145.957776
2664,3728,-36.148922 145.959015
2668,3730,-36.051782 145.974755
2678,3732,-36.686814 146.313751
2680,3733,-36.812087 146.316338
2681,3735,-36.515712 146.603574
2685,3736,-36.455136 146.479489
2686,3737,-36.554037 146.82759
2701,3738,-36.587922 146.75397
2702,3739,-36.641016 146.864194
2703,3740,-36.731686 146.834561
2706,3741,-36.962316 147.063163
2713,3744,-36.788479 146.95979
2714,3746,-36.31396 146.51767
2715,3747,-36.361056 146.725705
2723,3749,-36.42031113 146.8638108
2725,3750,-37.596078 145.005578
2726,3751,-37.554655 145.052904
2727,3752,-37.619102 145.074353
2729,3753,-37.476474 144.959512
2730,3754,-37.593554 145.112985
2732,3755,-37.563905 145.142035
2733,3756,-37.41233 144.956641
2739,3757,-37.469784 145.182221
2746,3758,-37.354647 145.052552
2748,3759,-37.650385 145.247277
2749,3760,-37.624929 145.288073
2751,3761,-37.585625 145.292381
2752,3762,-37.354143 144.936707
2753,3763,-37.521863 145.353378
2755,3764,-37.263736 144.900644
2763,3765,-37.814771 145.346621
2764,3766,-37.817818 145.384955
2765,3767,-37.839387 145.347505
2766,3770,-37.708784 145.416004
2769,3775,-37.642852 145.365993
2774,3777,-37.606088 145.513804
2782,3778,-37.537492 145.623011
2784,3779,-37.539267 145.784751
2786,3781,-37.938471 145.487862
2789,3782,-37.938068 145.433024
2793,3783,-37.947379 145.596576
2794,3785,-37.885138 145.316734
2795,3786,-37.878188 145.332431
2796,3787,-37.866786 145.350888
2798,3788,-37.848036 145.377128
2799,3789,-37.889767 145.357336
2800,3791,-37.896917 145.379622
2801,3792,-37.89424 145.405388
2802,3793,-37.874533 145.429715
2803,3795,-37.836663 145.430311
2804,3796,-37.786977 145.384922
2805,3797,-37.867809 145.786343
2810,3799,-37.727566 145.818512
2817,3800,-37.910545 145.134935
2818,3802,-37.971763 145.255599
2819,3803,-38.009435 145.265524
2820,3804,-37.980059 145.325994
2822,3805,-38.037026 145.304198
2825,3806,-38.025018 145.349488
2827,3807,-38.048316 145.371635
2829,3808,-38.002518 145.42327
2831,3809,-38.069094 145.406887
2833,3810,-38.04658 145.472514
2837,3812,-38.070135 145.565304
2840,3813,-38.064252 145.634339
2842,3814,-38.10718 145.669112
2846,3815,-38.01378 145.726311
2850,3816,-38.043542 145.787991
2854,3818,-38.096289 145.867337
2863,3820,-38.207476 145.922212
2866,3821,-37.919937 145.945214
2886,3822,-38.194379 145.989901
2889,3823,-38.210382 146.065656
2892,3824,-38.245649 146.16397
2898,3825,-37.978862 146.342932
2929,3831,-37.993258 146.013136
2932,3832,-37.919937 145.945214
2935,3833,-37.84222154 145.851865
2947,3835,-38.290637 146.175271
2948,3840,-38.245215 146.424457
2959,3841,-37.5832 147.463
2960,3842,-38.315452 146.414358
2961,3844,-38.316869 146.607101
2978,3847,-38.166213 146.772991
2983,3850,-38.224191 147.106181
2988,3851,-38.035548 147.084398
3015,3852,-38.10361729 147.1414369
3018,3853,-38.095569 146.059953
3019,3854,-38.12413 146.596877
3022,3856,-38.063907 146.672206
3023,3857,-38.018616 146.694894
3024,3858,-37.3690401 146.8291658
3045,3859,-37.886136 146.848259
3050,3860,-37.571707 146.805175
3066,3862,-37.55304411 147.130018
3084,3864,-37.860878 147.341513
3087,3865,-37.796743 147.455946
3088,3869,-38.364689 146.359836
3091,3870,-38.437946 146.319351
3098,3871,-38.42207 146.158866
3108,3873,-38.298267 146.708775
3109,3874,-38.514438 146.836248
3115,3875,-37.826032 147.63201
3150,3878,-37.898544 147.680121
3151,3880,-37.914728 147.727389
3155,3882,-37.812017 147.764385
3156,3885,-37.01610136 148.0696953
3173,3886,-37.770977 148.426851
3174,3887,-37.757895 148.116641
3177,3888,-37.39051 148.660943
3203,3889,-37.610841 148.873952
3211,3890,-37.566489 149.217216
3219,3891,-37.567684 149.538907
3226,3892,-37.563775 149.909868
3227,3893,-37.495349 147.866067
3230,3895,-37.379331 147.887515
3235,3896,-37.264671 147.707962
3240,3898,-37.066169 147.464799
3253,3900,-36.88053 147.826143
3256,3902,-37.797042 147.814894
3258,3903,-37.811303 147.867533
3259,3904,-37.881041 147.839367
3260,3909,-37.821921 147.970237
3268,3910,-38.156369 145.198328
3269,3911,-38.196908 145.169556
3271,3912,-38.217991 145.227373
3273,3913,-38.262273 145.166426
3274,3915,-38.305806 145.136622
3276,3916,-38.415199 145.050587
3279,3918,-38.339871 145.155546
3280,3919,-38.352327 145.199777
3281,3920,-38.38752 145.19304
3283,3921,-38.41571044 145.3687444
3286,3922,-38.482182 145.231974
3295,3923,-38.465552 145.293632
3296,3925,-38.528213 145.379683
3300,3926,-38.355231 145.094502
3304,3927,-38.383368 145.153269
3305,3928,-38.407828 144.975131
3306,3929,-38.460965 144.976673
3307,3930,-38.195017 145.093743
3309,3931,-38.230038 145.049503
3310,3933,-38.261168 145.096992
3311,3934,-38.2783 145.031598
3312,3936,-38.326447 145.007626
3315,3937,-38.373694 145.01994
3317,3938,-38.354321 144.931834
3318,3939,-38.42776 144.900413
3323,3940,-38.37363083 144.8754149
3325,3941,-38.396077 144.827203
3328,3942,-38.367874 144.768301
3329,3943,-38.345527 144.739101
3330,3944,-38.321871 144.692708
3331,3945,-38.381582 145.697053
3336,3946,-38.448155 145.723537
3337,3950,-38.435217 145.812945
3342,3951,-38.47372 145.798419
3350,3953,-38.460127 145.995174
3365,3954,-38.550379 145.937973
3366,3956,-38.597018 145.955341
3377,3957,-38.589302 146.126718
3379,3958,-38.673841 145.987059
3381,3959,-38.734636 146.066529
3386,3960,-39.140761 146.360412
3400,3962,-38.60357 146.359804
3408,3964,-38.685115 146.278804
3409,3965,-38.693437 146.472132
3410,3966,-38.630568 146.436583
3413,3967,-38.647562 146.507929
3414,3971,-38.631942 146.815723
3436,3975,-38.05354 145.231114
3438,3976,-38.043995 145.264296
3439,3977,-38.1466398 145.2695101
3451,3978,-38.135009 145.384606
3454,3979,-38.44818 145.591284
3458,3980,-38.204448 145.356937
3461,3981,-38.207298 145.575
3468,3984,-38.312647 145.563979
3481,3987,-38.309048 145.689142
3482,3988,-38.313447 145.811863
3486,3989,49.1805 -2.10323
3487,3990,-38.455399 145.501279
3488,3991,-38.483041 145.466781
3489,3992,-38.569135 145.534315
3493,3995,-38.578071 145.630713
3507,3996,-38.629561 145.745609
3509,8001,-38.365017 144.76592
3510,8002,-37.818517 144.982207
3511,8003,-37.8183 144.957
3512,8004,-36.5587997 145.4689942
3513,8005,-37.824608 144.950858
3514,8006,-37.8097006 144.9593062
3515,8007,-37.8183 144.957
3516,8008,-37.844246 144.970161
3517,8009,-37.817201 144.964531
3518,8010,-38.185857 146.293728
3519,8011,-37.8113144 144.9617461
3520,8012,-37.814719 144.948039
3521,8045,-37.844246 144.970161
3522,8051,-37.844246 144.970161
3523,8066,-37.844246 144.970161
3524,8069,-37.844246 144.970161
3525,8070,-37.844246 144.970161
3526,8071,-37.844246 144.970161
3527,8102,-37.844246 144.970161
3528,8107,-37.844246 144.970161
3529,8111,-37.844246 144.970161
3530,8120,-37.844246 144.970161
3531,8205,-37.844246 144.970161
3532,8785,-38.016114 145.208504
