,Postcode,Centroid,Shopping_Center_Name,Location,Distance,Duration
3,3000,-37.817403 144.956776,COLLINS234 BOUTIQUE PLACE,"-37.815545, 144.965749",1.0 ,6 mins
18,3006,-37.82528675 144.9520744,DFO SOUTH WHARF,"-37.825196, 144.949879",0.1 ,1 min
21,3008,-37.814719 144.948039,WATERFRONT CITY,"-37.814342, 144.939035",1.0 ,3 mins
22,3011,-37.807101 144.907953,FOOTSCRAY MARKET,"-37.800522, 144.901875",1.6 ,5 mins
24,3012,-37.807135 144.861162,CENTRAL WEST SHOPPING CENTRE,"-37.793489, 144.861609",1.8 ,5 mins
25,3019,-37.784683 144.854014,BRAYBROOK SHOPPING CENTRE,"-37.782172, 144.86422",1.4 ,4 mins
26,3020,-37.777204 144.829945,CENTRO SUNSHINE MARKETPLACE,"-37.78187, 144.831506",1.0 ,4 mins
28,3023,-37.78272 144.770641,BURNSIDE HUB,"-37.75938, 144.753677",4.0 ,9 mins
30,3024,-37.75045631 144.649936,MANOR LAKES CENTRAL SHOPPING CENTRE,"-37.876281, 144.614452",21.5 ,28 mins
32,3025,-37.835562 144.839704,ALTONA GATE SHOPPING CENTRE,"-37.828989, 144.84627",1.3 ,3 mins
33,3028,-37.875066 144.777165,CENTRAL SQUARE SHOPPING CENTRE,"-37.873122, 144.776038",0.3 ,1 min
37,3029,-37.837165 144.705831,WYNDHAM VILLAGE SHOPPING CENTRE,"-37.849333, 144.704302",2.4 ,5 mins
39,3030,-37.91624 144.64209,STOCKLAND POINT COOK SHOPPING CENTRE,"-37.883369895772, 144.73538783062",15.1 ,16 mins
40,3032,-37.774486 144.897221,HIGHPOINT SHOPPING CENTRE,"-37.77369, 144.888781",1.3 ,7 mins
44,3034,-37.761235 144.86194,MILLEARA SHOPPING CENTRE,"-37.749591, 144.861442",1.8 ,4 mins
45,3037,-37.715579 144.780474,WATERVALE SHOPPING CENTRE,"-37.723117, 144.751043",4.2 ,6 mins
47,3038,-37.700454 144.766873,WATERGARDENS TOWN CENTRE,"-37.699266, 144.775813",3.6 ,9 mins
48,3039,-37.766184 144.922995,MOONEE PONDS CENTRAL,"-37.765648, 144.922669",0.2 ,1 min
50,3041,-37.72674618 144.9011039,RUNWAY PLAZA,"-37.724585, 144.893951",2.1 ,4 mins
51,3042,-37.727529 144.866305,WESTFIELD AIRPORT WEST,"-37.714077, 144.886366",3.0 ,6 mins
52,3043,-37.691916 144.888368,GLADSTONE PARK SHOPPING CENTRE,"-37.688293, 144.88463",0.5 ,1 min
53,3047,-37.681105 144.930247,BROADMEADOWS SHOPPING CENTRE,"-37.680244, 144.91953",3.5 ,7 mins
54,3048,-37.653917 144.923609,MEADOW HEIGHTS SHOPPING CENTRE,"-37.650845, 144.922161",1.2 ,4 mins
56,3056,-37.766292 144.960108,BARKLY SQUARE,"-37.775695, 144.962004",1.4 ,6 mins
57,3059,-37.639887 144.879626,GREENVALE SHOPPING CENTRE,"-37.639349, 144.881948",1.3 ,4 mins
58,3060,-37.707326 144.967874,CAMPBELLFIELD PLAZA,"-37.689343, 144.960737",2.8 ,7 mins
59,3064,-37.546522 144.942199,CRAIGIEBURN CENTRAL,"-37.592986, 144.912268",10.6 ,14 mins
61,3070,-37.774064 144.999745,NORTHCOTE SHOPPING PLAZA,"-37.768556, 145.001845",1.3 ,4 mins
64,3072,-37.74247 145.005702,PRESTON MARKET,"-37.739352, 145.00178",0.8 ,3 mins
65,3075,-37.66607 145.002679,PACIFIC EPPING,"-37.653869, 145.018678",3.6 ,7 mins
66,3076,-37.643598 145.022137,EPPING NORTH SHOPPING CENTRE,"-37.628168, 145.027155",3.3 ,6 mins
67,3079,-37.772675 145.048573,IVANHOE PLAZA,"-37.768183, 145.04146",1.3 ,4 mins
68,3081,-37.743008 145.046401,NORTHLAND SHOPPING CENTRE,"-37.739018, 145.029845",2.0 ,5 mins
69,3084,-37.744406 145.082685,WARRINGAL SHOPPING CENTRE,"-37.755915, 145.068739",2.2 ,5 mins
70,3088,-37.700175 145.108339,GREENSBOROUGH PLAZA,"-37.702696, 145.102816",1.4 ,4 mins
71,3089,-37.667713 145.150369,DIAMOND CREEK SHOPPING STATION,"-37.673551, 145.15957",1.8 ,4 mins
73,3095,-37.713299 145.158579,ELTHAM VILLAGE SHOPPING CENTRE,"-37.714902, 145.148743",1.1 ,3 mins
74,3105,-37.772477 145.084806,BULLEEN PLAZA,"-37.76613, 145.091637",3.0 ,6 mins
75,3108,-37.786429 145.125797,WESTFIELD DONCASTER,"-37.78685, 145.125332",60 ,1 min
76,3109,-37.784786 145.161649,STOCKLAND THE PINES,"-37.763554, 145.168284",2.7 ,5 mins
78,3116,-37.737629 145.313086,CHIRNSIDE PARK SHOPPING CENTRE,"-37.758258, 145.313972",3.3 ,5 mins
79,3121,-37.823303 145.001788,THE COMO CENTRE,"-37.838366, 144.996065",2.0 ,7 mins
81,3123,-37.829752 145.049415,STOCKLAND TOORONGA SHOPPING CENTRE,"-37.845596113968, 145.04558170316",2.0 ,4 mins
82,3126,-37.827203 145.075748,CAMBERWELL SUNDAY MARKET,"-37.82931, 145.058043",1.9 ,4 mins
83,3128,-37.828866 145.122393,BOX HILL CENTRAL,"-37.818677, 145.12179",1.4 ,4 mins
84,3130,-37.81805 145.149653,NORTH BLACKBURN SHOPPING CENTRE,"-37.812013, 145.152392",1.0 ,3 mins
85,3131,-37.817798 145.174489,BRAND SMART PREMIUM OUTLET CENTRE,"-37.819375, 145.1714718",0.7 ,3 mins
87,3133,-37.848786 145.192303,VERMONT SOUTH SHOPPING CENTRE,"-37.855243, 145.182224",2.3 ,6 mins
88,3134,-37.823058 145.257929,EASTLAND SHOPPING CENTRE,"-37.812672, 145.229157",3.7 ,8 mins
91,3136,-37.779876 145.282396,CROYDON CENTRAL SHOPPING CENTRE,"-37.794026, 145.278937",2.7 ,5 mins
92,3137,-37.819364 145.313346,CANTERBURY GARDENS SHOPPING CENTRE,"-37.822732, 145.301494",1.2 ,3 mins
93,3140,-37.759154 145.363185,LILYDALE MARKETPLACE,"-37.759801, 145.348895",1.8 ,5 mins
94,3141,-37.840679 144.991264,THE JAM FACTORY,"-37.842618, 144.995792",1.3 ,4 mins
96,3142,-37.84411 145.017732,TOK H CENTRE,"-37.84066, 145.008246",1.0 ,4 mins
98,3144,-37.857443 145.034127,MALVERN CENTRAL,"-37.863028, 145.027026",1.4 ,5 mins
100,3148,-37.882562 145.090149,HOMEPLUS HOMEMAKER CENTRE,"-37.877598, 145.091922",1.2 ,3 mins
101,3150,-37.914383 145.168834,BRANDON PARK SHOPPING CENTRE,"-37.905522, 145.161647",1.4 ,4 mins
105,3151,-37.85523 145.151119,BURWOOD ONE SHOPPING CENTRE,"-37.853784, 145.149761",0.4 ,2 mins
106,3152,-37.864951 145.221695,WESTFIELD KNOX,"-37.86927, 145.24004",3.0 ,4 mins
107,3153,-37.845116 145.270141,MOUNTAIN HIGH SHOPPING CENTRE,"-37.840921, 145.265094",0.7 ,2 mins
108,3155,-37.861799 145.284418,THE MALL BORONIA,"-37.860342, 145.286693",0.5 ,2 mins
109,3156,-37.917932 145.292895,MOUNTAIN GATE SHOPPING CENTRE,"-37.883678, 145.274908",8.2 ,12 mins
110,3163,-37.896497 145.057237,CARNEGIE CENTRAL,"-37.884786, 145.058444",1.5 ,5 mins
111,3170,-37.920945 145.167859,WAVERLEY GARDENS SHOPPING CENTRE,"-37.935473, 145.189605",4.5 ,8 mins
112,3171,-37.944608 145.156783,SPRINGVALE HOMEMAKER CENTRE,"-37.927444, 145.143394",3.3 ,6 mins
113,3172,-37.975981 145.13465,DINGLEY VILLAGE SHOPPING CENTRE,"-37.983412, 145.132541",1.1 ,2 mins
114,3173,-38.006771 145.164863,PARKMORE SHOPPING CENTRE,"-37.992893, 145.173138",3.2 ,8 mins
115,3175,-38.016114 145.208504,HOME QUARTER DANDENONG,"-38.005209, 145.21853",2.2 ,7 mins
116,3177,-37.990985 145.237462,DANDENONG PLAZA,"-37.986731, 145.217684",2.3 ,5 mins
117,3178,-37.924431 145.241589,STUD PARK,"-37.920638, 145.237115",1.6 ,5 mins
119,3181,-37.854683 144.995504,PRAN CENTRAL SHOPPING CENTRE,"-37.846954, 144.993643",1.2 ,4 mins
120,3182,-37.865322 144.979478,ACLAND COURT SHOPPING CENTRE,"-37.868967, 144.980617",0.7 ,2 mins
121,3189,-37.942021 145.047802,MOORABBIN HOUSE AND HOME CENTRE,"-37.939558, 145.038272",1.2 ,3 mins
122,3190,-37.951394 145.038147,HIGHETT SHOPPING CENTRE,"-37.949024, 145.041367",0.6 ,2 mins
123,3192,-37.965655 145.0623,WESTFIELD SOUTHLAND,"-37.958445, 145.054806",2.3 ,5 mins
124,3194,-37.985059 145.067356,THRIFT PARK SHOPPING CENTRE,"-37.984204, 145.076943",1.7 ,3 mins
125,3195,-38.007024 145.104105,MORDIALLOC PLAZA,"-38.008072, 145.086614",2.1 ,4 mins
128,3199,-38.162578 145.135961,FRANKSTON POWER CENTRE,"-38.148946, 145.137326",1.9 ,4 mins
130,3201,-38.092874 145.177905,THE LOCAL VILLAGE,"-38.0886367, 145.1825171",0.9 ,2 mins
131,3202,-37.960555 145.092698,DFO MOORABBIN,"-37.971261, 145.08812",5.2 ,9 mins
132,3214,-38.084781 144.352385,BELLPOST SHOPPING CENTRE,"-38.089309, 144.336645",2.6 ,5 mins
135,3216,-38.215906 144.334005,BARRABOOL HILLS PLAZA,"-38.161872, 144.305826",10.5 ,17 mins
137,3218,-38.13028025 144.2894883,PAKINGTON STRAND,"-38.137503, 144.347662",7.3 ,13 mins
140,3219,-38.17277 144.389533,NEWCOMB CENTRAL SHOPPING CENTRE,"-38.169956, 144.39147",0.5 ,1 min
141,3220,-38.157038 144.34652,MARKET SQUARE SHOPPING CENTRE,"-38.147951, 144.361964",2.4 ,8 mins
143,3226,-38.263811 144.523761,OCEAN GROVE MARKETPLACE,"-38.258894, 144.548297",2.9 ,4 mins
144,3280,-38.37884 142.482889,GATEWAY PLAZA,"-38.381608, 142.519768",3.8 ,6 mins
148,3337,-37.65724033 144.5462424,WOODGROVE SHOPPING CENTRE,"-37.686167, 144.56127",5.1 ,10 mins
149,3340,-37.787135 144.394442,DARLEY PLAZA,"-37.659449, 144.440871",17.6 ,18 mins
151,3355,-37.530285 143.82561,STOCKLAND WENDOUREE,"-37.53431, 143.823885",0.6 ,2 mins
152,3400,-36.725245 142.203729,HORSHAM PLAZA,"-36.715718, 142.196203",1.9 ,4 mins
153,3429,-37.56762 144.728973,SUNBURY SQUARE SHOPPING CENTRE,"-37.577542, 144.729432",1.8 ,4 mins
154,3437,-37.501619 144.513018,GISBORNE VILLAGE SHOPPING CENTRE,"-37.485605, 144.589909",9.9 ,10 mins
155,3500,-34.1931 142.154161,MILDURA CENTRAL,"-34.208196, 142.138774",2.5 ,4 mins
156,3550,-36.764269 144.285267,BENDIGO MARKETPLACE,"-36.765765, 144.280743",0.8 ,3 mins
157,3552,-37.825288 145.011924,KENNINGTON VILLAGE SHOPPING CENTRE,"-36.775409, 144.306331",162 ,1 hour 52 mins
159,3555,-36.777226 144.245239,LANSELL SQUARE,"-36.810475, 144.242283",4.2 ,8 mins
160,3617,-36.423823 145.178369,OAKLEIGH CENTRAL,"-37.901055, 145.090211",207 ,2 hours 23 mins
161,3630,-36.380853 145.403176,SHEPPARTON MARKETPLACE,"-36.387641, 145.423834",2.7 ,7 mins
162,3676,-36.341245 146.338612,HARVEY NORMAN - WANGARATTA,"-36.356748, 146.325113",2.2 ,3 mins
163,3690,-36.135717 146.864361,BIRALLEE VILLAGE SHOPPING CENTRE,"-36.127763, 146.86482",1.2 ,2 mins
167,3777,-37.606088 145.513804,HEALESVILLE WALK SHOPPING CENTRE,"-37.652833, 145.518043",9.0 ,14 mins
168,3802,-37.971763 145.255599,ENDEAVOUR HILLS SHOPPING CENTRE,"-37.976993, 145.258788",2.1 ,5 mins
170,3805,-38.037026 145.304198,WESTFIELD FOUNTAIN GATE,"-38.017692, 145.303787",2.9 ,6 mins
171,3806,-38.025018 145.349488,BERWICK MARKETPLACE,"-38.02951, 145.346619",0.8 ,2 mins
172,3810,-38.04658 145.472514,PAKENHAM CENTRAL MARKETPLACE,"-38.0775, 145.483931",4.7 ,10 mins
174,3840,-38.245215 146.424457,MIDVALLEY SHOPPING CENTRE,"-38.236989, 146.429798",12.2 ,11 mins
175,3844,-38.316869 146.607101,TRARALGON CENTRE PLAZA,"-38.194538, 146.53939",18.4 ,17 mins
176,3850,-38.224191 147.106181,GIPPSLAND CENTRE,"-38.106745, 147.06271",14.9 ,15 mins
177,3875,-37.826032 147.63201,EASTWOOD VILLAGE SHOPPING CENTRE,"-37.826676, 147.629682",0.2 ,1 min
178,3927,-38.383368 145.153269,BALNARRING VILLAGE SHOPPING CENTRE,"-38.373199, 145.12501",3.5 ,7 mins
180,3930,-38.195017 145.093743,RITCHIES VILLAGE CENTRE,"-38.185074, 145.089676",1.5 ,4 mins
181,3931,-38.230038 145.049503,MORNINGTON CENTRAL,"-38.218566, 145.039113",2.1 ,6 mins
183,3934,-38.2783 145.031598,BENTONS SQUARE SHOPPING CENTRE,"-38.245416, 145.048067",5.1 ,7 mins
184,3936,-38.326447 145.007626,DROMANA HUB SHOPPING CENTRE,"-38.333538, 144.964645",4.6 ,6 mins
185,3940,-38.37363083 144.8754149,ROSEBUD PLAZA,"-38.361526, 144.891378",2.8 ,6 mins
186,3975,-38.05354 145.231114,LYNBROOK VILLAGE SHOPPING CENTRE,"-38.05177, 145.256595",5.6 ,8 mins
187,3976,-38.043995 145.264296,HAMPTON PARK SHOPPING CENTRE,"-38.032654, 145.265843",1.7 ,4 mins
188,3977,-38.1466398 145.2695101,CRANBOURNE HOMEMAKER CENTRE,"-38.085817, 145.279178",10.2 ,15 mins
