,Postcode,Offence Count,Income Per Person,Count_Station,Count_Hospital,Count_School,Count_Shopping_Center,Weekly Rental Price
0,3000,16212,11826.0,45.0,4.0,4.0,18.0,542.6977910073633
1,3002,1300,3899.0,11.0,7.0,0.0,0.0,576.1428571428571
2,3004,4302,10933.666666666666,12.0,2.0,4.0,0.0,547.983870967742
3,3008,3478,11263.0,16.0,1.0,1.0,3.0,562.2357723577236
4,3011,2831,8664.0,138.0,6.0,4.0,2.0,422.2176165803109
5,3012,2435,8319.4,82.0,0.0,6.0,1.0,408.3114754098361
6,3013,820,7870.5,90.0,0.0,4.0,0.0,525.0
7,3015,784,9536.0,91.0,0.0,5.0,0.0,493.49743589743593
8,3016,1093,10843.5,66.0,1.0,5.0,0.0,521.0526315789474
9,3018,874,8061.0,67.0,1.0,4.0,0.0,439.1071428571428
10,3019,1685,10693.0,68.0,0.0,5.0,1.0,380.8
11,3020,5767,6649.25,216.0,0.0,18.0,1.0,391.2295081967213
12,3021,6125,8814.333333333334,208.0,3.0,18.0,0.0,366.4731934731935
13,3022,315,4479.0,37.0,0.0,2.0,0.0,394.0625
14,3023,4605,8997.0,179.0,0.0,16.0,3.0,418.3571428571428
15,3024,1903,14655.333333333334,92.0,0.0,3.0,2.0,397.280701754386
16,3025,914,9536.0,121.0,0.0,6.0,1.0,507.7380952380952
17,3026,1448,6951.0,66.0,0.0,1.0,0.0,455.55555555555554
18,3027,458,12014.5,26.0,0.0,0.0,0.0,457.8571428571428
19,3028,1709,6966.333333333333,80.0,0.0,8.0,1.0,372.89772727272725
20,3029,6896,12766.166666666666,372.0,0.0,21.0,4.0,418.2244897959184
21,3030,7617,12520.0,367.0,3.0,33.0,2.0,425.8867924528302
22,3031,1602,3138.5,32.0,0.0,7.0,0.0,493.8288288288288
23,3032,2816,8170.333333333333,203.0,1.0,7.0,2.0,472.9767441860465
24,3033,687,8326.0,45.0,0.0,2.0,0.0,462.7083333333333
25,3036,329,5476.666666666667,28.0,1.0,3.0,0.0,553.75
26,3037,2281,9110.5,171.0,0.0,8.0,1.0,426.6666666666667
27,3038,1837,9233.5,121.0,0.0,7.0,2.0,441.6666666666667
28,3039,1258,10067.0,65.0,1.0,3.0,1.0,498.63013698630135
29,3040,1645,11832.0,119.0,1.0,10.0,0.0,462.7087378640777
30,3041,817,12805.5,56.0,0.0,5.0,2.0,466.2121212121212
31,3042,1230,4896.666666666667,93.0,0.0,7.0,1.0,463.0947619047619
32,3043,1945,6417.0,38.0,0.0,5.0,1.0,428.75
33,3044,1491,10919.75,104.0,1.0,5.0,0.0,461.72222222222223
34,3047,4145,7565.666666666667,123.0,1.0,14.0,1.0,362.8
35,3048,1980,7981.0,141.0,0.0,2.0,2.0,383.57142857142856
36,3049,604,8061.0,50.0,0.0,1.0,0.0,423.84615384615387
37,3052,1192,6721.0,11.0,4.0,3.0,0.0,479.4736842105263
38,3053,1877,9422.0,17.0,1.0,2.0,0.0,481.2903225806452
39,3054,638,7443.0,24.0,1.0,3.0,0.0,569.4186046511628
40,3055,1080,14200.5,69.0,0.0,4.0,0.0,442.1486603284356
41,3057,759,13880.5,42.0,0.0,3.0,0.0,453.6625
42,3058,3138,10538.75,165.0,2.0,13.0,0.0,491.3063063063063
43,3059,932,10950.5,66.0,0.0,5.0,1.0,542.3125
44,3060,944,6737.5,142.0,0.0,6.0,1.0,406.9714285714286
45,3061,1216,6474.0,33.0,0.0,1.0,0.0,339.1666666666667
46,3063,66,9895.5,0.0,0.0,0.0,0.0,500.0
47,3064,6680,7603.5,222.0,1.0,21.0,2.0,427.9502762430939
48,3065,2341,7189.0,9.0,3.0,3.0,0.0,572.2093023255813
49,3066,2180,6380.0,6.0,0.0,2.0,0.0,539.4444444444445
50,3067,1464,6589.0,26.0,0.0,3.0,0.0,547.232441471572
51,3068,1351,7943.333333333333,40.0,0.0,8.0,0.0,541.2857142857143
52,3070,1497,11627.666666666666,44.0,0.0,6.0,1.0,520.421052631579
53,3071,1375,14473.0,50.0,0.0,8.0,0.0,458.2903225806452
54,3074,2426,10921.0,129.0,0.0,8.0,0.0,397.5471698113208
55,3075,1565,10921.0,113.0,0.0,7.0,1.0,395.1470588235294
56,3076,3574,10984.0,120.0,1.0,11.0,1.0,400.5208333333333
57,3078,720,9673.0,120.0,1.0,4.0,0.0,482.8727272727273
58,3079,833,6887.0,84.0,2.0,6.0,1.0,489.3636363636364
59,3081,2145,8179.0,138.0,2.0,2.0,1.0,453.6530612244898
60,3082,2035,8951.0,70.0,1.0,6.0,0.0,405.1515151515151
61,3083,2623,5121.4,50.0,4.0,9.0,0.0,389.12280701754383
62,3084,2049,8769.666666666666,88.0,4.0,10.0,1.0,489.796875
63,3085,611,9022.666666666666,24.0,0.0,3.0,0.0,331.2903225806452
64,3087,568,8275.5,64.0,0.0,4.0,0.0,458.2352941176471
65,3088,1416,9227.0,121.0,1.0,11.0,1.0,498.8235294117647
66,3089,508,9167.0,56.0,0.0,5.0,2.0,560.625
67,3090,79,6326.0,32.0,0.0,0.0,0.0,800.0
68,3093,151,10215.0,20.0,0.0,1.0,0.0,465.0
69,3094,260,10215.0,31.0,0.0,4.0,0.0,466.4285714285714
70,3095,1171,10720.0,56.0,0.0,11.0,1.0,576.5384615384615
71,3099,203,2756.0,1.0,0.0,4.0,0.0,476.6666666666667
72,3101,1560,8554.25,38.0,6.0,11.0,0.0,509.2650602409639
73,3102,237,10683.5,52.0,0.0,3.0,0.0,488.2142857142857
74,3103,506,12282.0,62.0,0.0,7.0,0.0,510.9090909090909
75,3104,483,12318.0,47.0,0.0,7.0,0.0,566.7857142857143
76,3105,566,6946.0,73.0,0.0,4.0,1.0,495.8
77,3106,703,9529.0,119.0,0.0,4.0,0.0,517.6666666666666
78,3107,465,10060.25,63.0,1.0,2.0,0.0,573.3333333333334
79,3108,1451,9775.666666666666,111.0,0.0,4.0,1.0,496.90140845070425
80,3109,892,8641.5,142.0,0.0,6.0,1.0,512.5555555555555
81,3111,309,8641.5,38.0,1.0,5.0,0.0,488.84615384615387
82,3113,171,5606.0,86.0,0.0,3.0,0.0,598.3333333333334
83,3114,75,8320.5,80.0,0.0,2.0,0.0,670.0
84,3115,70,9282.0,22.0,0.0,2.0,0.0,460.0
85,3116,670,9145.0,70.0,0.0,1.0,2.0,497.0
86,3122,1243,14217.5,23.0,2.0,8.0,0.0,462.51145038167937
87,3123,780,11351.5,8.0,1.0,4.0,1.0,473.5644680851064
88,3124,1011,12076.75,39.0,1.0,5.0,0.0,564.8333333333334
89,3125,898,9437.5,72.0,1.0,4.0,0.0,400.67252747252746
90,3126,181,11077.5,13.0,1.0,5.0,1.0,577.1875
91,3127,681,10941.0,91.0,0.0,5.0,0.0,513.9
92,3128,2191,12915.0,173.0,4.0,4.0,1.0,447.8017241379311
93,3129,533,11124.0,89.0,0.0,6.0,0.0,496.875
94,3130,1328,10185.5,130.0,1.0,11.0,1.0,472.1428571428572
95,3131,1264,6847.0,101.0,2.0,4.0,2.0,477.0
96,3132,743,,143.0,1.0,5.0,0.0,472.037037037037
97,3133,851,7057.0,67.0,1.0,10.0,1.0,504.2857142857143
98,3134,3200,9292.0,122.0,1.0,12.0,2.0,458.859649122807
99,3135,989,11671.0,82.0,2.0,6.0,0.0,451.6
100,3136,2805,11299.0,180.0,1.0,12.0,2.0,488.3928571428572
101,3137,781,5594.333333333333,94.0,0.0,4.0,1.0,461.5
102,3138,1196,8242.333333333334,59.0,0.0,10.0,0.0,498.5
103,3139,579,7869.5,21.0,0.0,7.0,0.0,480.0
104,3140,1791,12583.5,101.0,1.0,10.0,1.0,488.1818181818182
105,3141,3269,10689.0,37.0,0.0,6.0,2.0,507.6406593406594
106,3142,911,13679.0,21.0,1.0,4.0,1.0,540.2
107,3143,483,11062.0,25.0,0.0,2.0,0.0,538.6206896551724
108,3144,742,10494.0,19.0,4.0,4.0,2.0,494.1666666666667
109,3145,2394,14397.666666666666,56.0,1.0,6.0,0.0,457.1904761904762
110,3146,942,12808.5,44.0,0.0,6.0,0.0,513.8529411764706
111,3147,1461,11635.0,24.0,0.0,7.0,0.0,537.1428571428571
112,3148,1053,11715.0,82.0,0.0,2.0,2.0,476.2962962962963
113,3149,1447,11137.5,97.0,2.0,10.0,0.0,524.6730769230769
114,3150,3063,12952.666666666666,235.0,2.0,21.0,4.0,549.2763157894736
115,3151,634,6275.0,90.0,0.0,4.0,1.0,520.1851851851852
116,3152,2246,9208.0,159.0,2.0,11.0,1.0,528.8541666666666
117,3153,2061,9013.25,107.0,1.0,7.0,1.0,443.8888888888889
118,3155,2153,7461.0,70.0,1.0,6.0,1.0,436.7307692307692
119,3156,2387,6436.0,138.0,1.0,11.0,1.0,497.2
120,3158,220,6287.0,35.0,0.0,5.0,0.0,595.0
121,3161,685,14662.0,33.0,1.0,3.0,0.0,477.828947368421
122,3162,856,11675.0,56.0,4.0,5.0,0.0,503.3333333333333
123,3163,1779,9129.666666666666,96.0,0.0,5.0,1.0,443.32
124,3166,2113,9112.0,94.0,0.0,7.0,0.0,526.7272727272727
125,3167,587,10448.0,51.0,0.0,3.0,0.0,479.72222222222223
126,3169,1356,6634.5,108.0,0.0,7.0,0.0,474.0
127,3170,1453,11496.0,152.0,1.0,7.0,1.0,469.6
128,3171,2418,12210.0,93.0,1.0,6.0,1.0,394.4791666666667
129,3172,1046,6687.5,135.0,0.0,7.0,1.0,439.1666666666667
130,3174,3125,11240.5,178.0,3.0,10.0,0.0,369.1891891891892
131,3175,10474,11218.2,172.0,5.0,15.0,1.0,352.85074626865674
132,3177,1185,5485.0,115.0,0.0,2.0,1.0,396.34615384615387
133,3178,1711,6621.5,155.0,0.0,6.0,2.0,488.2352941176471
134,3179,498,10609.0,75.0,0.0,3.0,0.0,459.1666666666667
135,3180,558,9898.0,57.0,0.0,2.0,0.0,588.3333333333334
136,3181,3785,17843.5,23.0,4.0,3.0,1.0,511.2516129032258
137,3182,5058,16377.5,39.0,1.0,5.0,1.0,460.5755813953488
138,3183,1413,13440.0,20.0,1.0,4.0,0.0,470.25688073394497
139,3184,897,15791.5,35.0,1.0,4.0,0.0,469.3163265306122
140,3185,904,10169.0,57.0,2.0,5.0,0.0,499.7872340425532
141,3186,1097,10920.0,124.0,3.0,8.0,0.0,571.9090909090909
142,3187,689,11518.0,65.0,0.0,4.0,0.0,546.2083333333334
143,3188,1204,10114.666666666666,66.0,1.0,3.0,0.0,519.8333333333334
144,3189,1124,10070.5,96.0,1.0,9.0,1.0,540.8333333333334
145,3191,647,9398.5,48.0,1.0,4.0,0.0,476.9230769230769
146,3192,1682,10415.0,82.0,2.0,5.0,1.0,510.1851851851852
147,3193,558,10308.5,67.0,0.0,6.0,0.0,523.3333333333334
148,3194,833,8596.0,105.0,0.0,8.0,1.0,431.8421052631579
149,3195,2262,6744.75,116.0,0.0,11.0,2.0,507.2093023255814
150,3196,1537,6691.333333333333,101.0,0.0,5.0,0.0,505.7407407407408
151,3197,1094,7424.0,79.0,0.0,1.0,0.0,577.6315789473684
152,3198,2056,,111.0,0.0,10.0,0.0,463.8928571428572
153,3199,7199,11471.666666666666,241.0,8.0,20.0,3.0,412.2234042553192
154,3200,942,9834.0,0.0,0.0,0.0,0.0,394.2857142857143
155,3201,1907,12512.0,121.0,0.0,5.0,1.0,459.1666666666667
156,3202,192,5592.0,69.0,0.0,0.0,1.0,618.75
157,3204,1569,12116.0,105.0,1.0,8.0,0.0,509.66315789473686
158,3206,811,13725.0,16.0,0.0,4.0,0.0,472.89473684210526
159,3207,2203,7668.333333333333,102.0,0.0,3.0,0.0,599.7058823529412
160,3211,526,10905.0,0.0,0.0,0.0,0.0,750.0
161,3212,1102,10905.0,0.0,0.0,0.0,0.0,474.6969696969697
162,3215,1988,9787.666666666666,0.0,0.0,0.0,0.0,448.4146341463415
163,3216,2932,11426.2,0.0,0.0,0.0,0.0,436.0619469026549
164,3217,532,14219.0,0.0,0.0,0.0,0.0,495.8641975308642
165,3218,1118,12521.0,0.0,0.0,0.0,0.0,461.3207547169811
166,3219,1999,8227.5,0.0,0.0,0.0,0.0,430.8333333333333
167,3220,3959,8404.0,0.0,0.0,0.0,0.0,471.5
168,3222,569,10906.333333333334,0.0,0.0,0.0,0.0,468.2692307692308
169,3223,458,4318.0,0.0,0.0,0.0,0.0,455.6
170,3224,583,7644.0,0.0,0.0,0.0,0.0,471.3636363636364
171,3228,803,13537.0,0.0,0.0,0.0,0.0,560.8823529411765
172,3230,190,3489.0,0.0,0.0,0.0,0.0,550.0
173,3240,78,3854.0,0.0,0.0,0.0,0.0,400.0
174,3241,184,3620.6666666666665,0.0,0.0,0.0,0.0,465.0
175,3242,22,3686.5,0.0,0.0,0.0,0.0,430.0
176,3289,33,4560.333333333333,0.0,0.0,0.0,0.0,230.0
177,3300,860,3748.0,0.0,0.0,0.0,0.0,425.5
178,3302,18,3748.0,0.0,0.0,0.0,0.0,400.0
179,3305,1387,6027.0,0.0,0.0,0.0,0.0,393.75
180,3315,72,3748.0,0.0,0.0,0.0,0.0,278.75
181,3318,37,1616.0,0.0,0.0,0.0,0.0,230.0
182,3329,6,3950.0,0.0,0.0,0.0,0.0,420.0
183,3331,138,4297.5,0.0,0.0,0.0,0.0,400.0
184,3335,811,9514.25,17.0,0.0,0.0,0.0,419.7272727272728
185,3337,4649,9574.0,183.0,1.0,17.0,2.0,357.0
186,3340,2024,10480.5,0.0,0.0,0.0,0.0,414.7058823529412
187,3341,90,8202.0,0.0,0.0,0.0,0.0,350.0
188,3342,255,3976.5,0.0,0.0,0.0,0.0,407.5
189,3345,56,,0.0,0.0,0.0,0.0,520.0
190,3350,5900,9230.6,0.0,0.0,0.0,0.0,390.0186335403727
191,3351,343,3206.5714285714284,0.0,0.0,0.0,0.0,466.6666666666667
192,3352,733,4892.916666666667,0.0,0.0,0.0,0.0,434.6666666666667
193,3355,1503,7487.5,0.0,0.0,0.0,0.0,372.8
194,3356,1565,8478.0,0.0,0.0,0.0,0.0,385.7391304347826
195,3357,130,4249.0,0.0,0.0,0.0,0.0,350.0
196,3361,12,2388.0,0.0,0.0,0.0,0.0,330.0
197,3363,190,4828.5,0.0,0.0,0.0,0.0,382.8571428571428
198,3373,200,2079.0,0.0,0.0,0.0,0.0,250.0
199,3374,57,3273.5,0.0,0.0,0.0,0.0,320.0
200,3377,1715,3121.0,0.0,0.0,0.0,0.0,301.8181818181818
201,3380,777,4657.0,0.0,0.0,0.0,0.0,321.42857142857144
202,3390,49,2891.0,0.0,0.0,0.0,0.0,320.0
203,3393,186,3628.0,0.0,0.0,0.0,0.0,295.0
204,3396,29,3555.0,0.0,0.0,0.0,0.0,330.0
205,3400,2175,9682.0,0.0,0.0,0.0,0.0,343.6842105263158
206,3409,27,1921.5,0.0,0.0,0.0,0.0,200.0
207,3418,233,3917.0,0.0,0.0,0.0,0.0,250.0
208,3428,92,11549.0,4.0,0.0,0.0,0.0,440.0
209,3429,2986,11354.0,227.0,1.0,14.0,1.0,456.61290322580646
210,3431,150,10109.5,0.0,0.0,0.0,0.0,437.5
211,3433,7,5883.0,0.0,0.0,0.0,0.0,520.0
212,3434,244,4269.5,0.0,0.0,0.0,0.0,426.6666666666667
213,3435,172,4755.0,0.0,0.0,0.0,0.0,530.0
214,3437,669,4923.0,0.0,0.0,0.0,0.0,549.375
215,3438,117,8257.0,0.0,0.0,0.0,0.0,620.0
216,3441,78,2379.0,0.0,0.0,0.0,0.0,390.0
217,3442,344,5407.0,0.0,0.0,0.0,0.0,516.1111111111111
218,3444,571,4275.666666666667,0.0,0.0,0.0,0.0,425.625
219,3447,9,5436.0,0.0,0.0,0.0,0.0,420.0
220,3450,547,5336.5,0.0,0.0,0.0,0.0,383.3333333333333
221,3451,145,5345.333333333333,0.0,0.0,0.0,0.0,423.3333333333333
222,3460,133,5363.0,0.0,0.0,0.0,0.0,501.25
223,3461,128,5436.0,0.0,0.0,0.0,0.0,503.3333333333333
224,3463,78,4417.333333333333,0.0,0.0,0.0,0.0,350.0
225,3465,907,2023.6666666666667,0.0,0.0,0.0,0.0,330.90909090909093
226,3478,203,2335.6666666666665,0.0,0.0,0.0,0.0,327.5
227,3480,94,2946.0,0.0,0.0,0.0,0.0,240.0
228,3482,3,3412.0,0.0,0.0,0.0,0.0,200.0
229,3496,328,2619.333333333333,0.0,0.0,0.0,0.0,318.57142857142856
230,3498,393,4121.0,0.0,0.0,0.0,0.0,476.0
231,3500,4732,2335.0,0.0,0.0,0.0,0.0,381.1842105263158
232,3501,66,3089.5,0.0,0.0,0.0,0.0,195.0
233,3517,158,3601.0,0.0,0.0,0.0,0.0,425.0
234,3523,320,2308.0,0.0,0.0,0.0,0.0,426.6666666666667
235,3525,194,3506.5,0.0,0.0,0.0,0.0,362.5
236,3537,25,3601.0,0.0,0.0,0.0,0.0,318.3333333333333
237,3540,44,3642.0,0.0,0.0,0.0,0.0,240.0
238,3550,5751,7098.8,0.0,0.0,0.0,0.0,451.1148648648648
239,3551,1313,4459.454545454545,0.0,0.0,0.0,0.0,461.8
240,3555,2122,7067.0,0.0,0.0,0.0,0.0,433.4782608695652
241,3556,1165,4977.25,0.0,0.0,0.0,0.0,412.6666666666667
242,3562,16,2267.0,0.0,0.0,0.0,0.0,295.0
243,3564,1795,5846.666666666667,0.0,0.0,0.0,0.0,460.96853146853147
244,3568,239,3642.0,0.0,0.0,0.0,0.0,787.0
245,3575,67,3601.0,0.0,0.0,0.0,0.0,250.0
246,3579,609,3086.333333333333,0.0,0.0,0.0,0.0,240.0
247,3585,1736,5037.5,0.0,0.0,0.0,0.0,312.0
248,3621,139,6189.0,0.0,0.0,0.0,0.0,421.1538461538461
249,3629,1311,4990.0,0.0,0.0,0.0,0.0,342.5
250,3630,6899,8855.333333333334,0.0,0.0,0.0,0.0,381.2037037037037
251,3631,900,7205.6,0.0,0.0,0.0,0.0,503.3333333333333
252,3634,93,4724.0,0.0,0.0,0.0,0.0,340.0
253,3641,69,6938.0,0.0,0.0,0.0,0.0,180.0
254,3644,1013,5119.5,0.0,0.0,0.0,0.0,403.0
255,3658,571,5948.0,0.0,0.0,0.0,0.0,395.8333333333333
256,3660,1402,2649.6666666666665,0.0,0.0,0.0,0.0,355.0
257,3672,1336,3958.0,0.0,0.0,0.0,0.0,426.1111111111111
258,3677,2710,8335.0,0.0,0.0,0.0,0.0,387.3333333333333
259,3683,69,1925.0,0.0,0.0,0.0,0.0,400.0
260,3685,120,3006.25,0.0,0.0,0.0,0.0,470.75
261,3690,3247,11854.5,0.0,0.0,0.0,0.0,407.97297297297297
262,3691,250,7068.0,0.0,0.0,0.0,0.0,420.0
263,3698,6,5025.0,0.0,0.0,0.0,0.0,420.0
264,3700,63,3303.0,0.0,0.0,0.0,0.0,470.0
265,3701,29,4135.0,0.0,0.0,0.0,0.0,290.0
266,3707,89,3605.0,0.0,0.0,0.0,0.0,360.0
267,3711,28,3692.0,2.0,0.0,1.0,0.0,450.0
268,3713,85,3692.0,1.0,0.0,1.0,0.0,250.0
269,3714,220,2900.5,1.0,1.0,3.0,0.0,350.0
270,3717,231,2109.0,0.0,0.0,0.0,0.0,600.0
271,3722,336,,0.0,0.0,0.0,0.0,432.5
272,3723,175,4183.0,0.0,0.0,0.0,0.0,395.0
273,3728,31,1621.0,0.0,0.0,0.0,0.0,400.0
274,3730,482,2965.5,0.0,0.0,0.0,0.0,449.6428571428572
275,3737,320,3618.0,0.0,0.0,0.0,0.0,277.1428571428572
276,3744,16,5025.0,0.0,0.0,0.0,0.0,400.0
277,3747,191,4463.5,0.0,0.0,0.0,0.0,461.4285714285714
278,3752,1102,10984.0,96.0,0.0,4.0,0.0,430.2173913043478
279,3753,275,8015.5,9.0,0.0,1.0,0.0,445.0
280,3754,2494,2756.0,130.0,0.0,10.0,0.0,439.5205479452055
281,3755,23,4086.0,10.0,0.0,0.0,0.0,650.0
282,3756,1570,8529.5,0.0,0.0,0.0,0.0,436.3333333333333
283,3757,500,3592.0,41.0,0.0,5.0,0.0,420.0
284,3758,253,11176.0,0.0,0.0,0.0,0.0,280.0
285,3762,23,8529.5,0.0,0.0,0.0,0.0,240.0
286,3764,800,5463.333333333333,0.0,0.0,0.0,0.0,428.6363636363636
287,3765,367,7929.333333333333,43.0,0.0,2.0,0.0,463.3333333333333
288,3767,108,6085.0,28.0,0.0,0.0,0.0,750.0
289,3779,58,3692.0,3.0,0.0,1.0,0.0,450.0
290,3783,110,11140.0,20.0,0.0,1.0,0.0,425.0
291,3788,97,4838.5,21.0,0.0,1.0,0.0,495.0
292,3791,15,6085.0,17.0,0.0,1.0,0.0,480.0
293,3795,40,4838.5,20.0,0.0,1.0,0.0,440.0
294,3796,363,5498.5,60.0,0.0,4.0,0.0,395.0
295,3797,174,9341.0,6.0,0.0,6.0,0.0,350.0
296,3799,346,4719.0,35.0,0.0,2.0,0.0,200.0
297,3803,936,5475.0,76.0,0.0,3.0,0.0,432.5
298,3804,371,5765.5,33.0,0.0,6.0,0.0,480.0
299,3806,2361,11714.333333333334,223.0,4.0,12.0,1.0,475.55737704918033
300,3810,4324,9981.0,127.0,0.0,9.0,2.0,438.15750915750914
301,3816,375,6726.0,0.0,0.0,0.0,0.0,426.25
302,3818,1497,8577.666666666666,0.0,0.0,0.0,0.0,434.2
303,3820,1798,12240.0,0.0,0.0,0.0,0.0,428.9705882352941
304,3824,424,,0.0,0.0,0.0,0.0,442.5
305,3825,3294,4818.333333333333,0.0,0.0,0.0,0.0,310.0
306,3840,4397,6177.5,0.0,0.0,0.0,0.0,329.54545454545456
307,3842,588,6326.0,0.0,0.0,0.0,0.0,385.0
308,3844,4323,5979.2,0.0,0.0,0.0,0.0,393.921568627451
309,3847,246,2568.5,0.0,0.0,0.0,0.0,400.0
310,3850,2532,6120.333333333333,0.0,0.0,0.0,0.0,437.8125
311,3851,514,4699.6,0.0,0.0,0.0,0.0,330.0
312,3856,30,2494.5,0.0,0.0,0.0,0.0,600.0
313,3858,273,3403.333333333333,0.0,0.0,0.0,0.0,381.0
314,3860,494,7910.0,0.0,0.0,0.0,0.0,396.6666666666667
315,3862,134,3721.25,0.0,0.0,0.0,0.0,480.0
316,3865,17,4665.0,0.0,0.0,0.0,0.0,450.0
317,3869,107,6326.0,0.0,0.0,0.0,0.0,380.0
318,3871,120,5939.333333333333,0.0,0.0,0.0,0.0,295.0
319,3875,2467,5437.666666666667,0.0,0.0,0.0,0.0,431.6666666666667
320,3880,262,2876.5,0.0,0.0,0.0,0.0,483.75
321,3882,59,4665.0,0.0,0.0,0.0,0.0,540.0
322,3888,393,3260.0,0.0,0.0,0.0,0.0,462.5
323,3903,39,5004.0,0.0,0.0,0.0,0.0,310.0
324,3904,83,5343.0,0.0,0.0,0.0,0.0,556.25
325,3909,1208,4301.5,0.0,0.0,0.0,0.0,428.125
326,3910,1025,14904.0,85.0,0.0,5.0,0.0,491.25
327,3912,640,8161.5,37.0,0.0,5.0,0.0,504.5
328,3913,136,11527.0,15.0,0.0,3.0,0.0,535.0
329,3915,1435,8204.0,30.0,1.0,4.0,0.0,440.3571428571428
330,3918,114,12638.0,0.0,0.0,0.0,0.0,440.0
331,3919,277,12638.0,0.0,0.0,0.0,0.0,280.0
332,3922,787,6534.0,0.0,0.0,0.0,0.0,468.3333333333333
333,3925,288,9614.5,0.0,0.0,0.0,0.0,437.5
334,3926,118,8204.0,0.0,0.0,0.0,0.0,614.2857142857143
335,3927,66,12638.0,25.0,0.0,2.0,1.0,720.0
336,3930,394,11642.0,49.0,1.0,7.0,2.0,547.5
337,3934,459,11837.0,74.0,0.0,3.0,1.0,639.2857142857143
338,3936,783,9275.0,60.0,0.0,3.0,1.0,601.3377926421405
339,3938,138,11356.0,90.0,0.0,0.0,0.0,528.0
340,3939,1726,8632.666666666666,12.0,1.0,4.0,0.0,500.5263157894737
341,3940,382,11356.0,108.0,1.0,1.0,1.0,468.6666666666667
342,3941,916,10772.0,104.0,0.0,3.0,0.0,567.3076923076923
343,3942,119,10772.0,0.0,0.0,0.0,0.0,501.875
344,3943,147,10772.0,71.0,0.0,2.0,0.0,475.0
345,3946,94,5427.0,0.0,0.0,0.0,0.0,675.0
346,3950,439,5961.0,0.0,0.0,0.0,0.0,345.0
347,3953,529,5961.0,0.0,0.0,0.0,0.0,426.6666666666667
348,3956,143,5746.0,0.0,0.0,0.0,0.0,395.0
349,3959,91,4997.0,0.0,0.0,0.0,0.0,500.0
350,3960,134,2503.0,0.0,0.0,0.0,0.0,347.5
351,3971,341,2856.0,0.0,0.0,0.0,0.0,323.3333333333333
352,3975,833,12726.0,46.0,0.0,3.0,1.0,484.72222222222223
353,3977,7328,11545.0,201.0,1.0,22.0,2.0,472.02479338842977
354,3978,1886,12707.666666666666,73.0,0.0,10.0,0.0,482.8030303030303
355,3980,194,4822.0,0.0,0.0,0.0,0.0,495.0
356,3981,238,6726.0,0.0,0.0,0.0,0.0,390.0
357,3984,696,7656.666666666667,0.0,0.0,0.0,0.0,441.5
358,3987,79,5137.5,0.0,0.0,0.0,0.0,550.0
359,3992,115,12695.0,0.0,0.0,0.0,0.0,425.0
360,3995,1092,12695.0,0.0,0.0,0.0,0.0,427.8571428571428
361,3996,267,8846.0,0.0,0.0,0.0,0.0,447.5
