Postcode,Count_Station,Count_Hospital,Count_School,Count_Shopping_Center
3000,45,4.0,4.0,18.0
3002,11,7.0,0.0,0.0
3003,17,0.0,1.0,0.0
3004,12,2.0,4.0,0.0
3006,10,0.0,2.0,1.0
3008,16,1.0,1.0,3.0
3010,7,0.0,0.0,0.0
3011,138,6.0,4.0,2.0
3012,82,0.0,6.0,1.0
3013,90,0.0,4.0,0.0
3015,91,0.0,5.0,0.0
3016,66,1.0,5.0,0.0
3018,67,1.0,4.0,0.0
3019,68,0.0,5.0,1.0
3020,216,0.0,18.0,1.0
3021,208,3.0,18.0,0.0
3022,37,0.0,2.0,0.0
3023,179,0.0,16.0,3.0
3024,92,0.0,3.0,2.0
3025,121,0.0,6.0,1.0
3026,66,0.0,1.0,0.0
3027,26,0.0,0.0,0.0
3028,80,0.0,8.0,1.0
3029,372,0.0,21.0,4.0
3030,367,3.0,33.0,2.0
3031,32,0.0,7.0,0.0
3032,203,1.0,7.0,2.0
3033,45,0.0,2.0,0.0
3034,78,0.0,2.0,3.0
3036,28,1.0,3.0,0.0
3037,171,0.0,8.0,1.0
3038,121,0.0,7.0,2.0
3039,65,1.0,3.0,1.0
3040,119,1.0,10.0,0.0
3041,56,0.0,5.0,2.0
3042,93,0.0,7.0,1.0
3043,38,0.0,5.0,1.0
3044,104,1.0,5.0,0.0
3045,52,0.0,0.0,0.0
3046,98,0.0,12.0,0.0
3047,123,1.0,14.0,1.0
3048,141,0.0,2.0,2.0
3049,50,0.0,1.0,0.0
3050,9,3.0,0.0,0.0
3051,11,0.0,5.0,0.0
3052,11,4.0,3.0,0.0
3053,17,1.0,2.0,0.0
3054,24,1.0,3.0,0.0
3055,69,0.0,4.0,0.0
3056,62,1.0,3.0,1.0
3057,42,0.0,3.0,0.0
3058,165,2.0,13.0,0.0
3059,66,0.0,5.0,1.0
3060,142,0.0,6.0,1.0
3061,33,0.0,1.0,0.0
3062,23,0.0,3.0,0.0
3064,222,1.0,21.0,2.0
3065,9,3.0,3.0,0.0
3066,6,0.0,2.0,0.0
3067,26,0.0,3.0,0.0
3068,40,0.0,8.0,0.0
3070,44,0.0,6.0,1.0
3071,50,0.0,8.0,0.0
3072,156,2.0,12.0,3.0
3073,222,1.0,13.0,0.0
3074,129,0.0,8.0,0.0
3075,113,0.0,7.0,1.0
3076,120,1.0,11.0,1.0
3078,120,1.0,4.0,0.0
3079,84,2.0,6.0,1.0
3081,138,2.0,2.0,1.0
3082,70,1.0,6.0,0.0
3083,50,4.0,9.0,0.0
3084,88,4.0,10.0,1.0
3085,24,0.0,3.0,0.0
3086,51,0.0,0.0,0.0
3087,64,0.0,4.0,0.0
3088,121,1.0,11.0,1.0
3089,56,0.0,5.0,2.0
3090,32,0.0,0.0,0.0
3091,13,0.0,1.0,0.0
3093,20,0.0,1.0,0.0
3094,31,0.0,4.0,0.0
3095,56,0.0,11.0,1.0
3096,10,0.0,0.0,0.0
3097,13,0.0,1.0,0.0
3099,1,0.0,4.0,0.0
3101,38,6.0,11.0,0.0
3102,52,0.0,3.0,0.0
3103,62,0.0,7.0,0.0
3104,47,0.0,7.0,0.0
3105,73,0.0,4.0,1.0
3106,119,0.0,4.0,0.0
3107,63,1.0,2.0,0.0
3108,111,0.0,4.0,1.0
3109,142,0.0,6.0,1.0
3111,38,1.0,5.0,0.0
3113,86,0.0,3.0,0.0
3114,80,0.0,2.0,0.0
3115,22,0.0,2.0,0.0
3116,70,0.0,1.0,2.0
3121,6,4.0,9.0,2.0
3122,23,2.0,8.0,0.0
3123,8,1.0,4.0,1.0
3124,39,1.0,5.0,0.0
3125,72,1.0,4.0,0.0
3126,13,1.0,5.0,1.0
3127,91,0.0,5.0,0.0
3128,173,4.0,4.0,1.0
3129,89,0.0,6.0,0.0
3130,130,1.0,11.0,1.0
3131,101,2.0,4.0,2.0
3132,143,1.0,5.0,0.0
3133,67,1.0,10.0,1.0
3134,122,1.0,12.0,2.0
3135,82,2.0,6.0,0.0
3136,180,1.0,12.0,2.0
3137,94,0.0,4.0,1.0
3138,59,0.0,10.0,0.0
3139,21,0.0,7.0,0.0
3140,101,1.0,10.0,1.0
3141,37,0.0,6.0,2.0
3142,21,1.0,4.0,1.0
3143,25,0.0,2.0,0.0
3144,19,4.0,4.0,2.0
3145,56,1.0,6.0,0.0
3146,44,0.0,6.0,0.0
3147,24,0.0,7.0,0.0
3148,82,0.0,2.0,2.0
3149,97,2.0,10.0,0.0
3150,235,2.0,21.0,4.0
3151,90,0.0,4.0,1.0
3152,159,2.0,11.0,1.0
3153,107,1.0,7.0,1.0
3154,74,0.0,3.0,0.0
3155,70,1.0,6.0,1.0
3156,138,1.0,11.0,1.0
3158,35,0.0,5.0,0.0
3159,14,0.0,1.0,0.0
3160,69,0.0,4.0,0.0
3161,33,1.0,3.0,0.0
3162,56,4.0,5.0,0.0
3163,96,0.0,5.0,1.0
3165,103,1.0,5.0,0.0
3166,94,0.0,7.0,0.0
3167,51,0.0,3.0,0.0
3168,60,6.0,3.0,0.0
3169,108,0.0,7.0,0.0
3170,152,1.0,7.0,1.0
3171,93,1.0,6.0,1.0
3172,135,0.0,7.0,1.0
3173,93,0.0,7.0,1.0
3174,178,3.0,10.0,0.0
3175,172,5.0,15.0,1.0
3177,115,0.0,2.0,1.0
3178,155,0.0,6.0,2.0
3179,75,0.0,3.0,0.0
3180,57,0.0,2.0,0.0
3181,23,4.0,3.0,1.0
3182,39,1.0,5.0,1.0
3183,20,1.0,4.0,0.0
3184,35,1.0,4.0,0.0
3185,57,2.0,5.0,0.0
3186,124,3.0,8.0,0.0
3187,65,0.0,4.0,0.0
3188,66,1.0,3.0,0.0
3189,96,1.0,9.0,1.0
3190,53,0.0,1.0,1.0
3191,48,1.0,4.0,0.0
3192,82,2.0,5.0,1.0
3193,67,0.0,6.0,0.0
3194,105,0.0,8.0,1.0
3195,116,0.0,11.0,2.0
3196,101,0.0,5.0,0.0
3197,79,0.0,1.0,0.0
3198,111,0.0,10.0,0.0
3199,241,8.0,20.0,3.0
3201,121,0.0,5.0,1.0
3202,69,0.0,0.0,1.0
3204,105,1.0,8.0,0.0
3205,18,1.0,3.0,0.0
3206,16,0.0,4.0,0.0
3207,102,0.0,3.0,0.0
3298,16,0.0,0.0,0.0
3335,17,0.0,0.0,0.0
3336,20,0.0,3.0,0.0
3337,183,1.0,17.0,2.0
3338,69,0.0,9.0,0.0
3427,12,0.0,1.0,0.0
3428,4,0.0,0.0,0.0
3429,227,1.0,14.0,1.0
3503,15,0.0,0.0,0.0
3617,33,0.0,0.0,1.0
3711,2,0.0,1.0,0.0
3712,2,0.0,1.0,0.0
3713,1,0.0,1.0,0.0
3714,1,1.0,3.0,0.0
3750,6,0.0,4.0,0.0
3752,96,0.0,4.0,0.0
3753,9,0.0,1.0,0.0
3754,130,0.0,10.0,0.0
3755,10,0.0,0.0,0.0
3757,41,0.0,5.0,0.0
3763,8,0.0,1.0,0.0
3765,43,0.0,2.0,0.0
3766,29,0.0,1.0,0.0
3767,28,0.0,0.0,0.0
3770,20,0.0,4.0,0.0
3775,6,0.0,2.0,0.0
3777,50,1.0,7.0,1.0
3779,3,0.0,1.0,0.0
3781,24,0.0,1.0,0.0
3782,16,0.0,3.0,0.0
3783,20,0.0,1.0,0.0
3785,15,0.0,0.0,0.0
3786,12,0.0,1.0,0.0
3787,10,0.0,2.0,0.0
3788,21,0.0,1.0,0.0
3789,11,0.0,0.0,0.0
3791,17,0.0,1.0,0.0
3792,13,0.0,2.0,0.0
3793,18,0.0,4.0,0.0
3795,20,0.0,1.0,0.0
3796,60,0.0,4.0,0.0
3797,6,0.0,6.0,0.0
3799,35,0.0,2.0,0.0
3800,65,0.0,1.0,0.0
3802,136,0.0,10.0,1.0
3803,76,0.0,3.0,0.0
3804,33,0.0,6.0,0.0
3805,92,0.0,15.0,2.0
3806,223,4.0,12.0,1.0
3807,81,0.0,2.0,0.0
3809,21,0.0,9.0,0.0
3810,127,0.0,9.0,2.0
3817,27,0.0,0.0,0.0
3910,85,0.0,5.0,0.0
3911,44,0.0,2.0,0.0
3912,37,0.0,5.0,0.0
3913,15,0.0,3.0,0.0
3915,30,1.0,4.0,0.0
3916,7,0.0,0.0,0.0
3920,16,0.0,0.0,0.0
3927,25,0.0,2.0,1.0
3930,49,1.0,7.0,2.0
3931,105,2.0,7.0,2.0
3933,1,0.0,1.0,0.0
3934,74,0.0,3.0,1.0
3936,60,0.0,3.0,1.0
3938,90,0.0,0.0,0.0
3939,12,1.0,4.0,0.0
3940,108,1.0,1.0,1.0
3941,104,0.0,3.0,0.0
3943,71,0.0,2.0,0.0
3975,46,0.0,3.0,1.0
3976,160,1.0,6.0,1.0
3977,201,1.0,22.0,2.0
3978,73,0.0,10.0,0.0
7260,2,0.0,0.0,0.0
