"Average weekly earnings, key statistics"
,,"May 2022","May 2021 to May 2022"
,,"$","% change"
"Seasonally Adjusted","Full-time adult average weekly ordinary time earnings (a)","1,769.80","1.9"
,"Full-time adult average weekly total earnings","1,835.20","2.1"
,"All employees average weekly total earnings (a)","1,344.70","3.0"
"Original","Full-time adult average weekly ordinary time earnings","1,769.80","1.9"
,"Full-time adult average weekly total earnings","1,835.30","2.1"
,"All employees average weekly total earnings","1,344.70","3.0"

"(a) This component is not seasonally adjusted."

"Source: Australian Bureau of Statistics, Average Weekly Earnings, Australia May 2022"