Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2022,March,1 North West Metro, Banyule,"7,191","5,604.2"
2022,March,1 North West Metro, Brimbank,"16,839","8,468.6"
2022,March,1 North West Metro, Darebin,"12,424","7,703.4"
2022,March,1 North West Metro, Hobsons Bay,"5,884","6,147.4"
2022,March,1 North West Metro, Hume,"17,870","7,208.5"
2022,March,1 North West Metro, Maribyrnong,"8,703","9,275.3"
2022,March,1 North West Metro, Melbourne,"34,479","20,082.4"
2022,March,1 North West Metro, Melton,"12,103","6,417.1"
2022,March,1 North West Metro, Moonee Valley,"7,860","6,119.8"
2022,March,1 North West Metro, Moreland,"11,526","6,272.8"
2022,March,1 North West Metro, Nillumbik,"2,156","3,373.4"
2022,March,1 North West Metro, Whittlesea,"12,510","5,206.8"
2022,March,1 North West Metro, Wyndham,"15,940","5,336.5"
2022,March,1 North West Metro, Yarra,"11,378","11,306.0"
2022,March,1 North West Metro,Total,"176,863","7,683.5"
2022,March,2 Eastern, Alpine,548,"4,176.2"
2022,March,2 Eastern, Bass Coast,"3,013","7,522.8"
2022,March,2 Eastern, Baw Baw,"4,265","7,313.0"
2022,March,2 Eastern, Benalla,"1,391","9,815.1"
2022,March,2 Eastern, Boroondara,"7,210","4,125.8"
2022,March,2 Eastern, East Gippsland,"4,955","10,120.5"
2022,March,2 Eastern, Greater Shepparton,"8,734","13,017.7"
2022,March,2 Eastern, Indigo,675,"3,945.6"
2022,March,2 Eastern, Knox,"9,519","5,932.3"
2022,March,2 Eastern, Latrobe,"11,011","14,412.8"
2022,March,2 Eastern, Manningham,"3,827","3,054.5"
2022,March,2 Eastern, Mansfield,448,"4,533.7"
2022,March,2 Eastern, Maroondah,"7,285","6,246.0"
2022,March,2 Eastern, Mitchell,"3,490","6,816.5"
2022,March,2 Eastern, Moira,"2,147","7,122.6"
2022,March,2 Eastern, Monash,"11,161","5,678.6"
2022,March,2 Eastern, Murrindindi,815,"5,441.8"
2022,March,2 Eastern, South Gippsland,"1,651","5,387.4"
2022,March,2 Eastern, Strathbogie,710,"6,278.3"
2022,March,2 Eastern, Towong,183,"2,997.3"
2022,March,2 Eastern, Wangaratta,"2,369","8,006.2"
2022,March,2 Eastern, Wellington,"4,282","9,431.4"
2022,March,2 Eastern, Whitehorse,"7,248","4,142.8"
2022,March,2 Eastern, Wodonga,"3,636","8,303.1"
2022,March,2 Eastern, Yarra Ranges,"7,170","4,550.3"
2022,March,2 Eastern,Total,"107,743","6,284.3"
2022,March,3 Southern Metro, Bayside,"4,405","4,235.7"
2022,March,3 Southern Metro, Cardinia,"6,311","5,242.1"
2022,March,3 Southern Metro, Casey,"19,621","5,254.4"
2022,March,3 Southern Metro, Frankston,"11,718","8,392.4"
2022,March,3 Southern Metro, Glen Eira,"6,551","4,276.6"
2022,March,3 Southern Metro, Greater Dandenong,"15,521","9,617.2"
2022,March,3 Southern Metro, Kingston,"9,460","5,815.1"
2022,March,3 Southern Metro, Mornington Peninsula,"8,850","5,247.0"
2022,March,3 Southern Metro, Port Phillip,"12,023","10,787.0"
2022,March,3 Southern Metro, Stonnington,"10,347","9,148.4"
2022,March,3 Southern Metro,Total,"104,807","6,518.2"
2022,March,4 Western, Ararat,"1,506","12,563.2"
2022,March,4 Western, Ballarat,"10,288","8,905.5"
2022,March,4 Western, Buloke,312,"5,143.8"
2022,March,4 Western, Campaspe,"3,229","8,527.6"
2022,March,4 Western, Central Goldfields,"1,132","8,559.8"
2022,March,4 Western, Colac-Otway,"1,615","7,541.9"
2022,March,4 Western, Corangamite,840,"5,360.2"
2022,March,4 Western, Gannawarra,796,"7,600.2"
2022,March,4 Western, Glenelg,"1,720","8,807.7"
2022,March,4 Western, Golden Plains,593,"2,349.5"
2022,March,4 Western, Greater Bendigo,"10,236","8,312.7"
2022,March,4 Western, Greater Geelong,"19,955","7,247.5"
2022,March,4 Western, Hepburn,545,"3,328.6"
2022,March,4 Western, Hindmarsh,442,"7,971.8"
2022,March,4 Western, Horsham,"2,334","11,656.6"
2022,March,4 Western, Loddon,512,"6,799.7"
2022,March,4 Western, Macedon Ranges,"1,897","3,620.3"
2022,March,4 Western, Mildura,"6,903","12,547.5"
2022,March,4 Western, Moorabool,"2,038","5,451.2"
2022,March,4 Western, Mount Alexander,952,"4,672.3"
2022,March,4 Western, Moyne,770,"4,433.6"
2022,March,4 Western, Northern Grampians,"1,051","9,236.2"
2022,March,4 Western, Pyrenees,434,"5,669.1"
2022,March,4 Western, Queenscliffe,137,"4,459.8"
2022,March,4 Western, Southern Grampians,"1,154","7,236.6"
2022,March,4 Western, Surf Coast,"1,352","3,613.0"
2022,March,4 Western, Swan Hill,"2,438","12,172.2"
2022,March,4 Western, Warrnambool,"3,123","8,712.4"
2022,March,4 Western, West Wimmera,195,"5,247.6"
2022,March,4 Western, Yarriambiack,418,"6,584.2"
2022,March,4 Western,Total,"78,917","7,523.8"
2022,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,931",
2022,March,Justice Institutions and Immigration Facilities,Total,"1,931",
2022,March,Unincorporated Vic, Unincorporated Vic,95,
2022,March,Unincorporated Vic,Total,95,
2021,March,1 North West Metro, Banyule,"8,762","6,771.9"
2021,March,1 North West Metro, Brimbank,"19,082","9,461.5"
2021,March,1 North West Metro, Darebin,"15,003","9,232.6"
2021,March,1 North West Metro, Hobsons Bay,"5,846","6,069.5"
2021,March,1 North West Metro, Hume,"21,031","8,628.5"
2021,March,1 North West Metro, Maribyrnong,"8,852","9,470.7"
2021,March,1 North West Metro, Melbourne,"35,712","21,024.4"
2021,March,1 North West Metro, Melton,"13,993","7,812.6"
2021,March,1 North West Metro, Moonee Valley,"7,873","6,085.2"
2021,March,1 North West Metro, Moreland,"12,944","7,007.9"
2021,March,1 North West Metro, Nillumbik,"2,147","3,320.5"
2021,March,1 North West Metro, Whittlesea,"16,019","6,732.6"
2021,March,1 North West Metro, Wyndham,"17,832","6,158.1"
2021,March,1 North West Metro, Yarra,"13,733","13,785.1"
2021,March,1 North West Metro,Total,"198,829","8,713.2"
2021,March,2 Eastern, Alpine,548,"4,193.1"
2021,March,2 Eastern, Bass Coast,"3,066","7,897.0"
2021,March,2 Eastern, Baw Baw,"4,998","8,833.0"
2021,March,2 Eastern, Benalla,"1,423","10,070.1"
2021,March,2 Eastern, Boroondara,"7,774","4,401.2"
2021,March,2 Eastern, East Gippsland,"5,099","10,540.4"
2021,March,2 Eastern, Greater Shepparton,"9,366","14,023.9"
2021,March,2 Eastern, Indigo,571,"3,363.0"
2021,March,2 Eastern, Knox,"11,400","7,003.8"
2021,March,2 Eastern, Latrobe,"13,064","17,154.3"
2021,March,2 Eastern, Manningham,"4,744","3,737.7"
2021,March,2 Eastern, Mansfield,545,"5,595.5"
2021,March,2 Eastern, Maroondah,"8,012","6,819.7"
2021,March,2 Eastern, Mitchell,"5,372","10,915.1"
2021,March,2 Eastern, Moira,"2,327","7,756.4"
2021,March,2 Eastern, Monash,"12,758","6,444.1"
2021,March,2 Eastern, Murrindindi,925,"6,213.5"
2021,March,2 Eastern, South Gippsland,"1,881","6,176.3"
2021,March,2 Eastern, Strathbogie,585,"5,238.6"
2021,March,2 Eastern, Towong,207,"3,408.5"
2021,March,2 Eastern, Wangaratta,"3,133","10,664.1"
2021,March,2 Eastern, Wellington,"4,923","10,917.7"
2021,March,2 Eastern, Whitehorse,"9,102","5,172.5"
2021,March,2 Eastern, Wodonga,"3,361","7,782.6"
2021,March,2 Eastern, Yarra Ranges,"8,787","5,532.3"
2021,March,2 Eastern,Total,"123,971","7,221.5"
2021,March,3 Southern Metro, Bayside,"5,212","4,936.5"
2021,March,3 Southern Metro, Cardinia,"7,346","6,190.0"
2021,March,3 Southern Metro, Casey,"21,906","5,938.8"
2021,March,3 Southern Metro, Frankston,"14,157","9,959.4"
2021,March,3 Southern Metro, Glen Eira,"7,738","4,988.3"
2021,March,3 Southern Metro, Greater Dandenong,"19,085","11,689.5"
2021,March,3 Southern Metro, Kingston,"11,256","6,835.1"
2021,March,3 Southern Metro, Mornington Peninsula,"10,774","6,380.2"
2021,March,3 Southern Metro, Port Phillip,"13,408","11,961.6"
2021,March,3 Southern Metro, Stonnington,"11,635","10,175.8"
2021,March,3 Southern Metro,Total,"122,517","7,592.6"
2021,March,4 Western, Ararat,"1,605","13,462.5"
2021,March,4 Western, Ballarat,"9,642","8,518.9"
2021,March,4 Western, Buloke,447,"7,362.9"
2021,March,4 Western, Campaspe,"3,315","8,778.7"
2021,March,4 Western, Central Goldfields,"1,171","8,902.2"
2021,March,4 Western, Colac-Otway,"1,653","7,676.9"
2021,March,4 Western, Corangamite,915,"5,786.4"
2021,March,4 Western, Gannawarra,925,"8,861.9"
2021,March,4 Western, Glenelg,"1,688","8,630.3"
2021,March,4 Western, Golden Plains,580,"2,342.0"
2021,March,4 Western, Greater Bendigo,"10,984","9,049.1"
2021,March,4 Western, Greater Geelong,"21,848","8,106.6"
2021,March,4 Western, Hepburn,659,"4,047.7"
2021,March,4 Western, Hindmarsh,560,"10,064.7"
2021,March,4 Western, Horsham,"2,591","12,980.3"
2021,March,4 Western, Loddon,551,"7,349.6"
2021,March,4 Western, Macedon Ranges,"2,671","5,162.1"
2021,March,4 Western, Mildura,"6,215","11,251.9"
2021,March,4 Western, Moorabool,"2,634","7,162.9"
2021,March,4 Western, Mount Alexander,895,"4,431.6"
2021,March,4 Western, Moyne,645,"3,745.4"
2021,March,4 Western, Northern Grampians,"1,270","11,158.9"
2021,March,4 Western, Pyrenees,453,"5,943.3"
2021,March,4 Western, Queenscliffe,104,"3,405.4"
2021,March,4 Western, Southern Grampians,"1,125","7,010.7"
2021,March,4 Western, Surf Coast,"1,452","4,002.4"
2021,March,4 Western, Swan Hill,"2,635","13,071.1"
2021,March,4 Western, Warrnambool,"3,225","9,057.2"
2021,March,4 Western, West Wimmera,167,"4,453.3"
2021,March,4 Western, Yarriambiack,458,"7,099.7"
2021,March,4 Western,Total,"83,083","8,020.3"
2021,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"3,074",
2021,March,Justice Institutions and Immigration Facilities,Total,"3,074",
2021,March,Unincorporated Vic, Unincorporated Vic,46,
2021,March,Unincorporated Vic,Total,46,
2020,March,1 North West Metro, Banyule,"9,959","7,550.7"
2020,March,1 North West Metro, Brimbank,"20,140","9,675.9"
2020,March,1 North West Metro, Darebin,"15,121","9,089.5"
2020,March,1 North West Metro, Hobsons Bay,"6,051","6,165.3"
2020,March,1 North West Metro, Hume,"21,591","8,957.5"
2020,March,1 North West Metro, Maribyrnong,"9,379","9,880.1"
2020,March,1 North West Metro, Melbourne,"36,359","19,800.4"
2020,March,1 North West Metro, Melton,"13,054","7,572.0"
2020,March,1 North West Metro, Moonee Valley,"8,699","6,605.1"
2020,March,1 North West Metro, Moreland,"14,439","7,653.5"
2020,March,1 North West Metro, Nillumbik,"2,291","3,513.8"
2020,March,1 North West Metro, Whittlesea,"16,675","7,053.4"
2020,March,1 North West Metro, Wyndham,"17,263","6,098.2"
2020,March,1 North West Metro, Yarra,"14,028","13,609.4"
2020,March,1 North West Metro,Total,"205,049","8,897.1"
2020,March,2 Eastern, Alpine,597,"4,602.6"
2020,March,2 Eastern, Bass Coast,"2,468","6,592.1"
2020,March,2 Eastern, Baw Baw,"4,834","8,810.6"
2020,March,2 Eastern, Benalla,"1,249","8,836.2"
2020,March,2 Eastern, Boroondara,"8,323","4,548.7"
2020,March,2 Eastern, East Gippsland,"4,864","10,192.6"
2020,March,2 Eastern, Greater Shepparton,"8,715","12,999.3"
2020,March,2 Eastern, Indigo,563,"3,334.9"
2020,March,2 Eastern, Knox,"11,902","7,209.3"
2020,March,2 Eastern, Latrobe,"13,888","18,299.0"
2020,March,2 Eastern, Manningham,"4,968","3,854.4"
2020,March,2 Eastern, Mansfield,486,"5,130.9"
2020,March,2 Eastern, Maroondah,"7,991","6,695.2"
2020,March,2 Eastern, Mitchell,"4,652","9,767.6"
2020,March,2 Eastern, Moira,"2,479","8,260.0"
2020,March,2 Eastern, Monash,"11,999","5,857.6"
2020,March,2 Eastern, Murrindindi,779,"5,314.1"
2020,March,2 Eastern, South Gippsland,"1,758","5,812.9"
2020,March,2 Eastern, Strathbogie,643,"5,850.8"
2020,March,2 Eastern, Towong,230,"3,769.9"
2020,March,2 Eastern, Wangaratta,"2,459","8,423.8"
2020,March,2 Eastern, Wellington,"4,671","10,435.4"
2020,March,2 Eastern, Whitehorse,"9,333","5,165.9"
2020,March,2 Eastern, Wodonga,"3,836","8,995.2"
2020,March,2 Eastern, Yarra Ranges,"8,919","5,577.8"
2020,March,2 Eastern,Total,"122,606","7,069.2"
2020,March,3 Southern Metro, Bayside,"5,305","4,934.1"
2020,March,3 Southern Metro, Cardinia,"7,159","6,164.6"
2020,March,3 Southern Metro, Casey,"22,912","6,287.7"
2020,March,3 Southern Metro, Frankston,"14,942","10,428.5"
2020,March,3 Southern Metro, Glen Eira,"7,754","4,903.0"
2020,March,3 Southern Metro, Greater Dandenong,"19,062","11,328.4"
2020,March,3 Southern Metro, Kingston,"12,099","7,235.0"
2020,March,3 Southern Metro, Mornington Peninsula,"11,317","6,703.1"
2020,March,3 Southern Metro, Port Phillip,"12,965","11,136.7"
2020,March,3 Southern Metro, Stonnington,"12,090","10,196.8"
2020,March,3 Southern Metro,Total,"125,605","7,711.6"
2020,March,4 Western, Ararat,"1,250","10,449.8"
2020,March,4 Western, Ballarat,"11,564","10,387.6"
2020,March,4 Western, Buloke,329,"5,392.6"
2020,March,4 Western, Campaspe,"4,055","10,765.1"
2020,March,4 Western, Central Goldfields,"1,357","10,365.1"
2020,March,4 Western, Colac-Otway,"1,659","7,660.3"
2020,March,4 Western, Corangamite,693,"4,351.1"
2020,March,4 Western, Gannawarra,822,"7,903.8"
2020,March,4 Western, Glenelg,"1,806","9,205.8"
2020,March,4 Western, Golden Plains,640,"2,640.2"
2020,March,4 Western, Greater Bendigo,"11,166","9,309.8"
2020,March,4 Western, Greater Geelong,"22,324","8,431.1"
2020,March,4 Western, Hepburn,885,"5,477.8"
2020,March,4 Western, Hindmarsh,349,"6,241.1"
2020,March,4 Western, Horsham,"2,036","10,173.9"
2020,March,4 Western, Loddon,485,"6,490.0"
2020,March,4 Western, Macedon Ranges,"2,393","4,696.1"
2020,March,4 Western, Mildura,"7,453","13,328.9"
2020,March,4 Western, Moorabool,"2,210","6,138.5"
2020,March,4 Western, Mount Alexander,"1,209","6,045.3"
2020,March,4 Western, Moyne,671,"3,941.7"
2020,March,4 Western, Northern Grampians,"1,052","9,227.3"
2020,March,4 Western, Pyrenees,564,"7,465.3"
2020,March,4 Western, Queenscliffe,120,"3,989.4"
2020,March,4 Western, Southern Grampians,"1,114","6,906.0"
2020,March,4 Western, Surf Coast,"1,303","3,748.5"
2020,March,4 Western, Swan Hill,"2,423","11,805.7"
2020,March,4 Western, Warrnambool,"3,293","9,270.3"
2020,March,4 Western, West Wimmera,182,"4,778.2"
2020,March,4 Western, Yarriambiack,513,"7,788.1"
2020,March,4 Western,Total,"85,920","8,381.3"
2020,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,730",
2020,March,Justice Institutions and Immigration Facilities,Total,"2,730",
2020,March,Unincorporated Vic, Unincorporated Vic,156,
2020,March,Unincorporated Vic,Total,156,
2019,March,1 North West Metro, Banyule,"9,208","6,994.8"
2019,March,1 North West Metro, Brimbank,"19,196","9,159.8"
2019,March,1 North West Metro, Darebin,"14,848","9,041.3"
2019,March,1 North West Metro, Hobsons Bay,"6,316","6,460.4"
2019,March,1 North West Metro, Hume,"21,172","9,065.5"
2019,March,1 North West Metro, Maribyrnong,"8,188","8,758.9"
2019,March,1 North West Metro, Melbourne,"35,626","19,903.5"
2019,March,1 North West Metro, Melton,"11,061","6,706.2"
2019,March,1 North West Metro, Moonee Valley,"8,090","6,208.1"
2019,March,1 North West Metro, Moreland,"14,598","7,856.4"
2019,March,1 North West Metro, Nillumbik,"2,088","3,207.4"
2019,March,1 North West Metro, Whittlesea,"16,049","6,968.8"
2019,March,1 North West Metro, Wyndham,"14,959","5,527.9"
2019,March,1 North West Metro, Yarra,"13,451","13,250.1"
2019,March,1 North West Metro,Total,"194,850","8,630.1"
2019,March,2 Eastern, Alpine,573,"4,472.4"
2019,March,2 Eastern, Bass Coast,"2,385","6,567.5"
2019,March,2 Eastern, Baw Baw,"4,498","8,424.2"
2019,March,2 Eastern, Benalla,"1,201","8,557.8"
2019,March,2 Eastern, Boroondara,"7,233","3,948.2"
2019,March,2 Eastern, East Gippsland,"4,563","9,645.3"
2019,March,2 Eastern, Greater Shepparton,"8,937","13,438.9"
2019,March,2 Eastern, Indigo,506,"3,030.1"
2019,March,2 Eastern, Knox,"11,039","6,708.5"
2019,March,2 Eastern, Latrobe,"14,615","19,344.0"
2019,March,2 Eastern, Manningham,"4,547","3,563.9"
2019,March,2 Eastern, Mansfield,441,"4,806.5"
2019,March,2 Eastern, Maroondah,"8,313","7,011.1"
2019,March,2 Eastern, Mitchell,"4,448","9,651.3"
2019,March,2 Eastern, Moira,"2,188","7,312.8"
2019,March,2 Eastern, Monash,"10,367","5,109.5"
2019,March,2 Eastern, Murrindindi,760,"5,216.9"
2019,March,2 Eastern, South Gippsland,"1,442","4,821.1"
2019,March,2 Eastern, Strathbogie,603,"5,594.7"
2019,March,2 Eastern, Towong,206,"3,411.2"
2019,March,2 Eastern, Wangaratta,"2,277","7,802.2"
2019,March,2 Eastern, Wellington,"4,139","9,326.7"
2019,March,2 Eastern, Whitehorse,"8,458","4,731.0"
2019,March,2 Eastern, Wodonga,"3,171","7,535.1"
2019,March,2 Eastern, Yarra Ranges,"8,257","5,177.6"
2019,March,2 Eastern,Total,"115,167","6,696.6"
2019,March,3 Southern Metro, Bayside,"4,594","4,299.2"
2019,March,3 Southern Metro, Cardinia,"6,277","5,595.5"
2019,March,3 Southern Metro, Casey,"21,473","6,066.5"
2019,March,3 Southern Metro, Frankston,"14,787","10,366.3"
2019,March,3 Southern Metro, Glen Eira,"6,335","4,047.0"
2019,March,3 Southern Metro, Greater Dandenong,"17,978","10,684.6"
2019,March,3 Southern Metro, Kingston,"11,292","6,810.5"
2019,March,3 Southern Metro, Mornington Peninsula,"10,875","6,487.9"
2019,March,3 Southern Metro, Port Phillip,"12,778","11,051.7"
2019,March,3 Southern Metro, Stonnington,"10,501","8,916.1"
2019,March,3 Southern Metro,Total,"116,890","7,272.6"
2019,March,4 Western, Ararat,"1,391","11,744.3"
2019,March,4 Western, Ballarat,"10,867","9,923.8"
2019,March,4 Western, Buloke,265,"4,327.9"
2019,March,4 Western, Campaspe,"4,021","10,689.9"
2019,March,4 Western, Central Goldfields,"1,260","9,558.5"
2019,March,4 Western, Colac-Otway,"1,647","7,638.4"
2019,March,4 Western, Corangamite,672,"4,195.5"
2019,March,4 Western, Gannawarra,786,"7,507.9"
2019,March,4 Western, Glenelg,"1,243","6,318.9"
2019,March,4 Western, Golden Plains,667,"2,811.7"
2019,March,4 Western, Greater Bendigo,"11,018","9,330.1"
2019,March,4 Western, Greater Geelong,"20,631","7,967.5"
2019,March,4 Western, Hepburn,754,"4,720.5"
2019,March,4 Western, Hindmarsh,344,"6,158.3"
2019,March,4 Western, Horsham,"2,854","14,327.3"
2019,March,4 Western, Loddon,492,"6,558.3"
2019,March,4 Western, Macedon Ranges,"2,470","4,917.4"
2019,March,4 Western, Mildura,"7,364","13,202.1"
2019,March,4 Western, Moorabool,"2,289","6,530.5"
2019,March,4 Western, Mount Alexander,960,"4,860.5"
2019,March,4 Western, Moyne,586,"3,456.8"
2019,March,4 Western, Northern Grampians,983,"8,622.1"
2019,March,4 Western, Pyrenees,632,"8,460.5"
2019,March,4 Western, Queenscliffe,321,"10,922.1"
2019,March,4 Western, Southern Grampians,"1,568","9,740.3"
2019,March,4 Western, Surf Coast,"1,200","3,586.7"
2019,March,4 Western, Swan Hill,"2,628","12,726.4"
2019,March,4 Western, Warrnambool,"4,038","11,477.8"
2019,March,4 Western, West Wimmera,160,"4,167.8"
2019,March,4 Western, Yarriambiack,422,"6,358.3"
2019,March,4 Western,Total,"84,533","8,360.1"
2019,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,923",
2019,March,Justice Institutions and Immigration Facilities,Total,"2,923",
2019,March,Unincorporated Vic, Unincorporated Vic,148,
2019,March,Unincorporated Vic,Total,148,
2018,March,1 North West Metro, Banyule,"9,558","7,338.2"
2018,March,1 North West Metro, Brimbank,"17,625","8,443.4"
2018,March,1 North West Metro, Darebin,"14,760","9,130.7"
2018,March,1 North West Metro, Hobsons Bay,"6,012","6,231.3"
2018,March,1 North West Metro, Hume,"20,499","9,134.1"
2018,March,1 North West Metro, Maribyrnong,"8,093","8,853.2"
2018,March,1 North West Metro, Melbourne,"36,659","21,524.0"
2018,March,1 North West Metro, Melton,"10,443","6,663.6"
2018,March,1 North West Metro, Moonee Valley,"8,759","6,848.0"
2018,March,1 North West Metro, Moreland,"13,351","7,344.6"
2018,March,1 North West Metro, Nillumbik,"2,268","3,492.4"
2018,March,1 North West Metro, Whittlesea,"15,360","6,877.2"
2018,March,1 North West Metro, Wyndham,"14,187","5,555.5"
2018,March,1 North West Metro, Yarra,"13,418","13,613.1"
2018,March,1 North West Metro,Total,"190,992","8,713.5"
2018,March,2 Eastern, Alpine,483,"3,794.2"
2018,March,2 Eastern, Bass Coast,"2,412","6,827.8"
2018,March,2 Eastern, Baw Baw,"3,975","7,642.5"
2018,March,2 Eastern, Benalla,"1,333","9,505.8"
2018,March,2 Eastern, Boroondara,"7,080","3,903.5"
2018,March,2 Eastern, East Gippsland,"4,131","8,823.9"
2018,March,2 Eastern, Greater Shepparton,"8,126","12,310.6"
2018,March,2 Eastern, Indigo,448,"2,717.0"
2018,March,2 Eastern, Knox,"11,414","6,993.4"
2018,March,2 Eastern, Latrobe,"13,378","17,787.8"
2018,March,2 Eastern, Manningham,"4,730","3,767.9"
2018,March,2 Eastern, Mansfield,645,"7,183.4"
2018,March,2 Eastern, Maroondah,"7,870","6,697.6"
2018,March,2 Eastern, Mitchell,"4,408","9,950.8"
2018,March,2 Eastern, Moira,"2,019","6,775.8"
2018,March,2 Eastern, Monash,"11,029","5,508.7"
2018,March,2 Eastern, Murrindindi,692,"4,779.7"
2018,March,2 Eastern, South Gippsland,"1,426","4,821.6"
2018,March,2 Eastern, Strathbogie,558,"5,242.4"
2018,March,2 Eastern, Towong,214,"3,534.9"
2018,March,2 Eastern, Wangaratta,"2,369","8,144.8"
2018,March,2 Eastern, Wellington,"3,543","8,049.2"
2018,March,2 Eastern, Whitehorse,"8,162","4,630.3"
2018,March,2 Eastern, Wodonga,"3,320","8,013.7"
2018,March,2 Eastern, Yarra Ranges,"7,934","5,016.1"
2018,March,2 Eastern,Total,"111,699","6,573.4"
2018,March,3 Southern Metro, Bayside,"4,796","4,535.4"
2018,March,3 Southern Metro, Cardinia,"5,761","5,378.2"
2018,March,3 Southern Metro, Casey,"19,957","5,862.1"
2018,March,3 Southern Metro, Frankston,"14,308","10,086.9"
2018,March,3 Southern Metro, Glen Eira,"6,775","4,401.6"
2018,March,3 Southern Metro, Greater Dandenong,"18,336","11,036.5"
2018,March,3 Southern Metro, Kingston,"10,364","6,340.7"
2018,March,3 Southern Metro, Mornington Peninsula,"11,023","6,647.4"
2018,March,3 Southern Metro, Port Phillip,"12,549","11,079.3"
2018,March,3 Southern Metro, Stonnington,"10,191","8,764.1"
2018,March,3 Southern Metro,Total,"114,060","7,246.4"
2018,March,4 Western, Ararat,"1,238","10,496.0"
2018,March,4 Western, Ballarat,"11,446","10,664.9"
2018,March,4 Western, Buloke,227,"3,671.4"
2018,March,4 Western, Campaspe,"3,474","9,241.8"
2018,March,4 Western, Central Goldfields,"1,516","11,477.9"
2018,March,4 Western, Colac-Otway,"1,534","7,134.2"
2018,March,4 Western, Corangamite,883,"5,471.2"
2018,March,4 Western, Gannawarra,568,"5,385.9"
2018,March,4 Western, Glenelg,"1,598","8,126.5"
2018,March,4 Western, Golden Plains,647,"2,798.7"
2018,March,4 Western, Greater Bendigo,"9,645","8,311.7"
2018,March,4 Western, Greater Geelong,"22,774","9,029.1"
2018,March,4 Western, Hepburn,869,"5,495.8"
2018,March,4 Western, Hindmarsh,346,"6,130.4"
2018,March,4 Western, Horsham,"2,464","12,398.1"
2018,March,4 Western, Loddon,371,"4,938.1"
2018,March,4 Western, Macedon Ranges,"2,094","4,240.0"
2018,March,4 Western, Mildura,"6,401","11,530.0"
2018,March,4 Western, Moorabool,"2,254","6,599.1"
2018,March,4 Western, Mount Alexander,950,"4,868.3"
2018,March,4 Western, Moyne,611,"3,618.2"
2018,March,4 Western, Northern Grampians,"1,043","9,125.1"
2018,March,4 Western, Pyrenees,418,"5,684.8"
2018,March,4 Western, Queenscliffe,115,"3,856.5"
2018,March,4 Western, Southern Grampians,"1,336","8,280.6"
2018,March,4 Western, Surf Coast,"1,142","3,540.9"
2018,March,4 Western, Swan Hill,"2,466","11,878.6"
2018,March,4 Western, Warrnambool,"3,555","10,197.1"
2018,March,4 Western, West Wimmera,161,"4,168.8"
2018,March,4 Western, Yarriambiack,538,"8,080.5"
2018,March,4 Western,Total,"82,684","8,302.1"
2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,527",
2018,March,Justice Institutions and Immigration Facilities,Total,"2,527",
