"Weekly income","Victoria","Greater Capital Cities"
"Neg/Nil Income","2.05","1.91"
"$1 - $149","0.70","0.62"
"$150 - $299","1.24","1.15"
"$300 - $399","2.14","2.03"
"$400 - $499","5.35","4.76"
"$500 - $649","3.90","3.61"
"$650 - $799","5.62","5.06"
"$800 - $999","5.90","5.39"
"$1,000 - $1,249","6.89","6.50"
"$1,250 - $1,499","7.17","6.83"
"$1,500 - $1,749","5.75","5.58"
"$1,750 - $1,999","5.57","5.44"
"$2,000 - $2,499","11.47","11.57"
"$2,500 - $2,999 ","7.29","7.38"
"$3,000 - $3,499","6.36","6.72"
"$3,500 - $3,999","3.93","4.29"
"$4,000 - $4,499","2.19","2.47"
"$4,500 - $4,999","4.05","4.70"
"$5,000 - $5,999","2.80","3.32"
"$6,000 - $7,999","2.42","3.02"
"$8,000 or more","0.91","1.13"