,Postcode,Centroid,Formal Name,Location Address,Suburb,Latitude and longitude
0,3000,-37.817403 144.956776,Melbourne Endoscopy Group DPC,34/517 St Kilda Road,Melbourne,"-37.8445923,144.9793406"
1,3000,-37.817403 144.956776,Melbourne Oral and Facial Surgery Pty Ltd,"Level 12, 63 Exhibition Street",Melbourne,"-37.8144815,144.9714769"
2,3000,-37.817403 144.956776,Peter MacCallum Cancer Institute,305 Grattan Street,Melbourne,"-37.800197,144.9567095"
3,3000,-37.817403 144.956776,Vision Laser St Kilda Road,"Ground Floor, 600 St Kilda Rd",Melbourne,"-37.8507818,144.9803199"
5,3002,-37.818517 144.982207,East Melbourne Day Procedure Centre,116 - 118 Wellington Parade,East Melbourne,"-37.81621140000001,144.9863185"
6,3002,-37.818517 144.982207,Epworth Cliveden,29 Simpson Street,East Melbourne,"-37.8156998,144.9876459"
7,3002,-37.818517 144.982207,Epworth Freemasons,166 Clarendon Street,East Melbourne,"-37.810971,144.9836976"
8,3002,-37.818517 144.982207,Jolimont Endoscopy,19/201 Wellington Parade South,East Melbourne,"-37.8169074,144.9786466"
9,3002,-37.818517 144.982207,St Vincent's Private Hospital East Melbourne,159 Grey Street,East Melbourne,"-37.8124803,144.9845044"
10,3002,-37.818517 144.982207,The Royal Victorian Eye and Ear Hospital,32 Gisborne Street,East Melbourne,"-37.8089736,144.9760499"
11,3002,-37.818517 144.982207,Victoria Parade Surgery Centre,"Level 1, 100 Victoria Parade",East Melbourne,"-37.808603,144.9749085"
13,3004,-37.844246 144.970161,Alfred Health,Commercial Road,Melbourne,"-37.8458528,144.9863747"
14,3004,-37.844246 144.970161,The Alfred,Commercial Road ,Melbourne,"-37.8458528,144.9863747"
17,3008,-37.814719 144.948039,Specialist Surgicentre Docklands,"Tenancy 2, 22 Rakaia Way",Docklands,"-37.8146343,144.9413047"
19,3011,-37.807101 144.907953,Footscray Hospital,160 Gordon Street,Footscray,"-37.7928754,144.8889931"
20,3011,-37.807101 144.907953,Tweddle Child and Family Health Service,53 Adelaide Street,Footscray,"-37.7974006,144.8874343"
21,3011,-37.807101 144.907953,Vision Day Surgery Footscray,89 Paisley Street,Footscray,"-37.8006113,144.8950427"
22,3011,-37.807101 144.907953,Western Gastroenterology Services,30 Eleanor Street,Footscray,"-37.7919698,144.8851991"
23,3011,-37.807101 144.907953,Western Health,160 Gordon Street,Footscray,"-37.7928754,144.8889931"
24,3011,-37.807101 144.907953,Western Private Hospital,1-9 Marion St ,Footscray,"-37.793006,144.8852539"
28,3016,-37.863743 144.888461,Williamstown Hospital,77b Railway Crescent,Williamstown,"-37.8637942,144.892638"
29,3018,-37.86172 144.812736,Hobson's Bay Endoscopy Centre Altona,5 Sargood Street,Altona,"-37.8695719,144.8283957"
32,3021,-37.743361 144.796693,St Alban's Endoscopy Centre,328-330 Station Road,St Albans,"-37.7440308,144.7795293"
33,3021,-37.743361 144.796693,Sunshine Hospital,176 Furlong Road,St Albans,"-37.759284,144.8171848"
34,3021,-37.743361 144.796693,Sunshine Private Day Surgery,145 Furlong Road,St Albans,"-37.7610625,144.8163697"
43,3030,-37.91624 144.64209,Hobson's Bay Werribee Endoscopy Centre,179 Princes Highway,Werribee,"-37.890594,144.6864528"
44,3030,-37.91624 144.64209,Werribee Mercy Hospital,300 Princes Highway,Werribee,"-37.8870172,144.6979549"
45,3030,-37.91624 144.64209,Westpoint Endoscopy Day Hospital,243 Heaths Road,Werribee,"-37.8774866,144.6797607"
47,3032,-37.774486 144.897221,Northwest Day Hospital,221 Maribyrnong Road,Ascot Vale,"-37.77117399999999,144.9094447"
50,3036,-37.705324 144.82246,Keilor Private,771 Old Calder Highway,Keilor,"-37.71970719999999,144.8344738"
53,3039,-37.766184 144.922995,Essendon Day Procedure Centre,"Level 2, 665 Mount Alexander Road",Moonee Ponds,"-37.7658075,144.9237203"
54,3040,-37.751845 144.902556,Essendon Private Clinic,33-35 Rosehill Road,Essendon,"-37.7484696,144.8854029"
58,3044,-37.731138 144.936356,Dorset Rehabilitation Centre,146 Derby Street,Pascoe Vale,"-37.7232512,144.9476711"
61,3047,-37.681105 144.930247,Broadmeadows Health Service,35 Johnstone St,Broadmeadows,"-37.6843457,144.9128414"
64,3050,-37.800324 144.954581,Melbourne Health,"Level 8 South, RMH, 300 Grattan Street",Parkville,"-37.7986657,144.955973"
65,3050,-37.800324 144.954581,Melbourne Private Hospital,1f Royal Parade ,Parkville,"-37.7983026,144.9572802"
66,3050,-37.800324 144.954581,Royal Melbourne Hospital - City Campus,300 Grattan Street,Parkville,"-37.7988753,144.9552898"
68,3052,-37.788996 144.948903,Frances Perry House,Levels 6 & 7 Cnr Grattan St & Flemington Rd,Parkville,"-37.7996368,144.9551483"
69,3052,-37.788996 144.948903,Royal Melbourne Hospital - Royal Park Campus,34-55 Poplar Road,Parkville,"-37.7789873,144.9475955"
70,3052,-37.788996 144.948903,The Royal Children's Hospital,50 Flemington Road,Parkville,"-37.7902531,144.9433744"
71,3052,-37.788996 144.948903,The Royal Women's Hospital,Levels 6 & 7 Cnr Grattan St & Flemington Rd,Parkville,"-37.7996368,144.9551483"
72,3053,-37.803569 144.966112,Dental Health Services Victoria,720 Swanston Street,Carlton,"-37.7993667,144.9652277"
73,3054,-37.786971 144.96724,Victorian Sleep Centre,695-697 Rathdowne Street,Carlton North,"-37.7885635,144.9717339"
75,3056,-37.766292 144.960108,Brunswick Private Hospital,82 Moreland Road,Brunswick,"-37.756777,144.9714233"
77,3058,-37.739901 144.964524,Coburg Endoscopy Centre,15 Munro Street,Coburg,"-37.7451373,144.9647329"
78,3058,-37.739901 144.964524,John Fawkner Private Hospital,275 Moreland Road,Coburg,"-37.7543904,144.9584733"
84,3064,-37.546522 144.942199,Craigieburn Health Service,350 Craigieburn Road West,Craigieburn,"-37.5930147,144.9140568"
85,3065,-37.802608 144.977795,St Vincent's Health,41 Victoria Parade,Fitzroy,"-37.8076983,144.975057"
86,3065,-37.802608 144.977795,St Vincent's Hospital (Melbourne) Ltd,41 Victoria Parade,Fitzroy,"-37.8076983,144.975057"
87,3065,-37.802608 144.977795,St Vincent's Private Hospital Fitzroy,59 Victoria Parade,Fitzroy,"-37.8077459,144.976074"
93,3072,-37.74247 145.005702,Northern Health,201 Bell Street,Preston,"-37.7461819,145.0100486"
94,3072,-37.74247 145.005702,PANCH Health Service,300 Bell Street,Preston,"-37.7454271,145.0078748"
95,3073,-37.712474 145.005955,Reservoir Private Hospital,73-75 Pine Street,Reservoir,"-37.7176593,144.9979749"
98,3076,-37.643598 145.022137,The Northern Hospital,185 Cooper Street ,Epping,"-37.6531452,145.0150845"
99,3078,-37.778298 145.025853,Darebin Endoscopy Services,42 Station Street,Fairfield,"-37.7810669,145.0173668"
100,3079,-37.772675 145.048573,Ivanhoe Endoscopy and Day Procedure Centre,2/226 Upper Heidelberg Road,Ivanhoe,"-37.767005,145.044898"
101,3079,-37.772675 145.048573,North Eastern Rehabilitation Centre,134-142 Ford Street,Ivanhoe,"-37.7634294,145.0313179"
102,3081,-37.743008 145.046401,Austin Health - Heidelberg Repatriation Hospital,300 Waterdale Road,Heidelberg Heights,"-37.7568089,145.0464521"
103,3081,-37.743008 145.046401,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road,Heidelberg,"-37.73049630000001,145.0602223"
104,3082,-37.664858 145.065658,Southern Cross Specialist Centre Day Surgery,250 Childs Road,Mill Park,"-37.6620076,145.0529121"
105,3083,-37.701346 145.056223,Bundoora Extended Care Centre,1231 Plenty Road,Bundoora,"-37.7013275,145.0557508"
106,3083,-37.701346 145.056223,La Trobe Private Hospital,Cnr Plenty Road & Kingsbury Drive,Bundoora,"-37.7168339,145.0428975"
107,3083,-37.701346 145.056223,Northpark Private Hospital,10 Greenhills Road,Bundoora,"-37.6914695,145.0628904"
108,3083,-37.701346 145.056223,Victorian Gut Centre Bundoora,119 Plenty Road,Bundoora,"-37.6924925,145.0616985"
109,3084,-37.744406 145.082685,Austin Health,145 Studley Road,Heidelberg,"-37.7567527,145.0592739"
110,3084,-37.744406 145.082685,Austin Health - Austin Hospital,145 Studley Road,Heidelberg,"-37.7567527,145.0592739"
111,3084,-37.744406 145.082685,Mercy Hospital for Women,163 Studley Road,Heidelberg,"-37.7560391,145.0611386"
112,3084,-37.744406 145.082685,Warringal Private Hospital,216 Burgundy Street,Heidelberg,"-37.7547935,145.0606094"
116,3088,-37.700175 145.108339,Diamond Valley Renal Care Centre,Grimshaw Street,Greensborough,"-37.7030974,145.088389"
126,3101,-37.807397 145.036575,Caritas Christi Hospice Ltd,104 Studley Park Road,Kew,"-37.8046485,145.0156663"
127,3101,-37.807397 145.036575,Cotham Private Hospital,209 Cotham Road,Kew,"-37.8085829,145.0480886"
128,3101,-37.807397 145.036575,Kew Endoscopy Centre,"Units 4/5, 828 High Street",Kew,"-37.7946623,145.0626303"
129,3101,-37.807397 145.036575,Royal Talbot Rehabilitation Centre,1 Yarra Boulevard,Kew,"-37.7895446,145.0233079"
130,3101,-37.807397 145.036575,St George's Health Service,283 Cotham Road,Kew,"-37.8092933,145.0534073"
131,3101,-37.807397 145.036575,St Vincent's Private Hospital Kew,5 Studley Avenue,Kew,"-37.8065387,145.0237137"
137,3107,-37.765225 145.110677,Manningham Day Procedure Centre,"Level 3, 200 High Street",Lower Templestowe,"-37.7735889,145.1152518"
140,3111,-37.794054 145.186334,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road,Donvale,"-37.789994,145.1714915"
145,3121,-37.823303 145.001788,Epworth Richmond,89 Bridge Road,Richmond,"-37.8177262,144.9930475"
146,3121,-37.823303 145.001788,Mercy Hospitals Victoria Limited,Shelley Street,Richmond,"-37.8111866,144.9936528"
147,3121,-37.823303 145.001788,The Melbourne Clinic ,130 Church Street,Richmond,"-37.8145753,144.9987497"
148,3121,-37.823303 145.001788,The Women's Clinic Day Surgical Centre,366 Church Street,Richmond,"-37.8229014,144.9979534"
149,3122,-37.822725 145.030602,Glenferrie Private Hospital,25 Linda Crescent,Hawthorn,"-37.8194771,145.0313533"
150,3122,-37.822725 145.030602,Hawthorn Birth and Development Centre,144 Barkers Road,Hawthorn,"-37.81412479999999,145.0303259"
151,3123,-37.829752 145.049415,Vision Day Surgery Camberwell,27 Denmark Hill Road,Hawthorn East,"-37.8324449,145.0555824"
152,3124,-37.840867 145.068191,Epworth Rehabilitation Camberwell,888 Toorak Road,Camberwell,"-37.8458631,145.0542881"
153,3125,-37.851305 145.101,Delmont Private Hospital,298 Warrigal Road,Burwood,"-37.857031,145.0943339"
154,3126,-37.827203 145.075748,Mercy Health - O'Connell Family Centre,6 Mont Albert Road,Canterbury,"-37.8167426,145.0616773"
156,3128,-37.828866 145.122393,Box Hill Hospital,51 Nelson Road ,Box Hill,"-37.8137575,145.1192459"
157,3128,-37.828866 145.122393,Eastern Health,"Level 4, 5 Arnold Street",Box Hill,"-37.814843,145.118358"
158,3128,-37.828866 145.122393,Epworth Eastern Hospital,1 Arnold Street,Box Hill,"-37.81478360000001,145.1190476"
159,3128,-37.828866 145.122393,Vision Day Surgery Eastern,852-856 Whitehorse Road,Box Hill,"-37.8177488,145.1195096"
161,3130,-37.81805 145.149653,Bellbird Private Hospital,198 Canterbury Road,Blackburn,"-37.8333161,145.156104"
162,3131,-37.817798 145.174489,Forest Hill Dialysis Centre,"Shops 26 & 27 Forest Hill Chase, 69 Mahoneys ",Forest Hill,"-37.8354108,145.1646721"
163,3131,-37.817798 145.174489,"Peter James Centre, The",321-345 Burwood Hwy,Forest Hill,"-37.85399140000001,145.1643808"
164,3132,-37.819222 145.196686,Mitcham Private Hospital,27 Doncaster East Road,Mitcham,"-37.8104018,145.1949405"
165,3133,-37.848786 145.192303,Dr Walters Vasectomy Centre,486 Burwood Highway,Vermont South,"-37.8570427,145.1831856"
166,3134,-37.823058 145.257929,Eastside Endoscopy Centre,33 Wantirna Road,Ringwood,"-37.8197766,145.2276901"
167,3135,-37.819594 145.248209,Maroondah Hospital,1-15 Mt Dandenong Rd,East Ringwood,"-37.8035047,145.2555597"
168,3135,-37.819594 145.248209,Ringwood Private Hospital,36 Mount Dandenong Road,Ringwood,"-37.8116215,145.243789"
169,3136,-37.779876 145.282396,Marie Stopes International Maroondah,411 Dorset Road,Croydon,"-37.8090897,145.2886489"
173,3140,-37.759154 145.363185,Yarra Ranges Health,25 Market Street,Lilydale,"-37.756521,145.3513794"
175,3142,-37.84411 145.017732,Toorak Cosmetic Surgery Day Centre,109 Mathoura Rd ,Toorak,"-37.84135029999999,145.0079609"
177,3144,-37.857443 145.034127,Cabrini Malvern,181-183 Wattletree Road,Malvern,"-37.8626027,145.0333328"
178,3144,-37.857443 145.034127,Malvern Dialysis Centre,"Ground Floor, 1133 Malvern Road",Malvern,"-37.8514647,145.0306918"
179,3144,-37.857443 145.034127,Stonnington Day Surgery,"Level 1, 253 Wattletree Road",Malvern,"-37.86365300000001,145.039398"
180,3144,-37.857443 145.034127,Toorak-Malvern Day Surgery Centre,30-32 Glenferrie Road,Malvern,"-37.8639714,145.0282973"
181,3145,-37.873557 145.049328,Malvern Private Hospital,3-9 Wilton Vale Crescent,Malvern East,"-37.8670659,145.0607454"
185,3149,-37.880748 145.128118,Waverley Endoscopy Suites,301 Blackburn Road,Mount Waverley,"-37.8803055,145.1465726"
186,3149,-37.880748 145.128118,Waverley Private Hospital,343-357 Blackburn Road,Mount Waverley,"-37.8844811,145.1455935"
187,3150,-37.914383 145.168834,The Glen Endoscopy Centre,302 Springvale Road,Glen Waverley,"-37.8846368,145.1653084"
188,3150,-37.914383 145.168834,The Victorian Rehabilitation Centre,499 Springvale Road,Glen Waverley,"-37.8978816,145.1609529"
190,3152,-37.864951 145.221695,Knox Private Hospital,262 Mountain Highway,Wantirna,"-37.8493969,145.2271597"
191,3152,-37.864951 145.221695,Wantirna Health,251 Mountain Highway,Wantirna,"-37.8482591,145.2261797"
192,3153,-37.845116 145.270141,Bayswater Day Procedure and Specialist Centre,664 Mountain Highway,Bayswater,"-37.8422484,145.2629995"
194,3155,-37.861799 145.284418,The Melbourne Eastern Private Hospital,157 Scoresby Road,Boronia,"-37.8552294,145.2689362"
195,3156,-37.917932 145.292895,Angliss Hospital,Albert Street,Upper Ferntree Gully,"-37.8989287,145.3132882"
199,3161,-37.873733 145.019929,Tarietta Day Surgery,73 Kooyong Road,Caulfield North,"-37.8701885,145.0177706"
200,3162,-37.892139 145.023394,Calvary Health Care Bethlehem Ltd.,476 Kooyong Road,Caulfield,"-37.8969028,145.0132125"
201,3162,-37.892139 145.023394,Caulfield Hospital,260 Kooyong Road,Caulfield,"-37.8826291,145.0161829"
202,3162,-37.892139 145.023394,Glen Eira Day Surgery,554 Hawthorn Road,Caulfield South,"-37.900589,145.0193881"
203,3162,-37.892139 145.023394,Melbourne Day Surgery,961 Glenhuntly Road,Caulfield,"-37.8877893,145.0304335"
206,3165,-37.922369 145.059426,"Monash Medical Centre, Moorabbin Campus",865 Centre Road,East Bentleigh,"-37.92081770000001,145.0631279"
209,3168,-37.91342 145.12665,Jessie McPherson Private Hospital,246 Clayton Road,Clayton,"-37.9194208,145.1240246"
210,3168,-37.91342 145.12665,Melbourne Endoscopy Monash Day Hospital (DPC),277 Clayton Road,Clayton,"-37.9214306,145.1201252"
211,3168,-37.91342 145.12665,Monash Health,246 Clayton Road,Clayton,"-37.9194208,145.1240246"
212,3168,-37.91342 145.12665,"Monash Medical Centre, Clayton Campus",246 Clayton Road,Clayton,"-37.9194208,145.1240246"
213,3168,-37.91342 145.12665,Monash Surgical Private Hospital,252-254 Clayton Road,Clayton,"-37.921911,145.120737"
214,3168,-37.91342 145.12665,Sir John Monash Private Hospital,212-220 Clayton Road,Clayton,"-37.9186278,145.1213553"
216,3170,-37.920945 145.167859,Mulgrave Private Hospital,535-559 Police Road,Mulgrave,"-37.9385903,145.2121015"
217,3171,-37.944608 145.156783,Springvale Endoscopy Services,20 Balmoral Avenue,Springvale,"-37.9494974,145.1495907"
220,3174,-37.966218 145.17877,Noble Park Endoscopy Centre,1304 Heatherton Road,Noble Park,"-37.9671065,145.1897207"
221,3174,-37.966218 145.17877,Queen Elizabeth Centre,53 Thomas Street,Noble Park,"-37.9720562,145.1782447"
